nom,x,y
Abbeville,1.832112275065502,50.108444233056261
Agen,0.625833024215888,44.202867230464719
Aigle,6.968252000000000,46.317425999999998
Aigurande,1.840068291396962,46.455746639249433
Aime,6.651720000000000,45.557048000000002
Aix en Provence,5.448241000000000,43.528708999999999
Aix-les-Bains,5.904855439001474,45.697251632092765
Ajaccio,8.700715575393874,41.934715039642583
Albertville,6.404322929811468,45.668289582256946
Albi,2.147340315409350,43.926088185596946
Alençon,0.091615446813352,48.431560904666661
Alès,4.088567920548188,44.125128470002458
Alfortville,2.421376725038044,48.796246729959798
Altkirch,7.244589933257116,47.621046397603791
Amiens,2.289693787702470,49.900399151360965
Amsterdam,4.892957000000000,52.374484000000002
Ancenis,-1.180040000000000,47.365135000000002
Andorre-la-Vieille,1.522318000000000,42.506784000000003
Angers,-0.556229922681389,47.476629294466790
Angoulême,0.145169288787067,45.647376143540335
Annecy,6.118092523273484,45.901669068910081
Annecy - Semnoz,6.103260000000000,45.807198000000000
Annemasse,6.243488852475646,46.191081242842507
Annonay Davézieux,4.669680000000000,45.240938999999997
Antibes,7.105548111275768,43.587658565466612
Anvers,4.408169000000000,51.221648000000002
Aoste,5.613221350034126,45.597849391157240
Arbois,5.773035197444192,46.894474226832401
Arc-et-Senans,5.769738895144376,47.035510536983047
Arcachon,-1.174170998606388,44.653851101072142
Arenberg Porte du Hainaut,3.424598000000000,50.379519000000002
Argelès,3.028764000000000,42.546489000000001
Argentan,-0.013526764135425,48.732484902195019
Arlon,5.815163000000000,49.683509000000001
Armentieres,2.880082000000000,50.687699000000002
Arpajon,2.243938271442523,48.590324664106795
Arpajon-sur-Cère,2.464436623803367,44.876120062926866
Arras,2.766068944799402,50.289999389647974
Aubagne,5.563185000763974,43.293652545540837
Aubenas,4.395921724645122,44.610213362985498
Auch,0.574878019682680,43.653279345096699
Aulnay-sous-Bois,2.493442450827313,48.945860966017861
Auray,-2.990595536910957,47.667468910843525
Aurillac,2.441617407786459,44.924481774857853
Autrans,5.543210000000000,45.176181999999997
Autun,4.310557392212158,46.945936212604259
Auxerre,3.581706761804411,47.793832908308715
Avesnes-sur-Helpe,3.927062163819384,50.124358148903035
Avignon,4.840921049634870,43.935548205716564
Avoriaz,6.771758000000000,46.193587999999998
Avranches,-1.345449690363216,48.675665551153799
Ax-les-Thermes,1.819300789097293,42.687315023063306
Bagnères-de-Bigorre,0.132923238397760,42.974825285115877
Bagnoles-de-l'Orne,-0.423791000000000,48.551563999999999
Bâle,7.588011000000000,47.557679999999998
Ballon d'Alsace,6.849147000000000,47.803004999999999
Bar-Le-Duc,5.165114000000000,48.771754000000001
Barcelone,2.173236000000000,41.382368999999997
Barcelonnette,6.651535979719450,44.379787981189253
Bastia,9.425185445283502,42.686418461756332
Bastogne,5.712639000000000,50.002426999999997
Bayonne,-1.465980270072185,43.492327921217807
Bazas,-0.212769611232274,44.442249427078494
Beaulieu,3.286647769740711,45.443478503615616
Beauraing,4.957432000000000,50.115707999999998
Beauvais,2.086335259412948,49.436196189053824
Belfort,6.845252944248710,47.646980150832789
Bellegarde-sur-Valserine,5.824347000000000,46.109335000000002
Bergerac,0.486529907328868,44.854310222387461
Beringen,5.220654000000000,51.050434000000003
Berlin,13.387587999999999,52.513646999999999
Berne,7.454178000000000,46.952807000000000
Besançon,6.019336936784384,47.255204289678254
Besse,6.208996950770024,45.104756433829223
Béthune,2.643030428290995,50.529027693361151
Béziers,3.230793391079287,43.347450186926579
Biarritz,-1.552150757647673,43.469310143538785
Binche,4.166353000000000,50.413227999999997
Blagnac,1.379852211895655,43.641588677848937
Blain,-1.767623908975807,47.463252679710472
Blaye-les-Mines,2.142903025316058,44.032989913886603
Blois,1.306086052807158,47.581542836820951
Bobigny,2.439834834573579,48.907437479613122
Bondy,2.484115454566412,48.902247663045664
Bonneval,3.732738805418709,45.307004691748659
Bonneval-sur-Arc,7.091752535773998,45.385929480682265
Bordeaux,-0.573444148760975,44.857536076223511
Bornem,4.236367000000002,51.097320000000003
Boulogne-sur-Mer,1.606111023048738,50.726766720424223
Bourg Saint Maurice,6.771660000000000,45.614044999999997
Bourg-d'Oisans,6.031400000000000,45.056292999999997
Bourg-de-Péage,5.050575484183918,45.017230842077865
Bourg-en-Bresse,5.245472710374172,46.204924490231342
Bourg-lès-Valence,4.894042628063754,44.965122811917070
Bourg-Madame,1.960575194293878,42.438334223231188
Bourg-Saint-Andéol,4.613970243481584,44.382909130110157
Bourges,2.404577224087494,47.074948221402821
Bourgoin-Jallieu,5.273848968566652,45.602453467248097
Brest,-4.501938464641312,48.400154392964552
Brétigny-sur-Orge,2.302430307141612,48.602448432256665
Briançon,6.649128857383438,44.899488074904006
Brighton,-0.145721000000000,50.826861000000001
Brignoles,6.077215669875688,43.399381146007109
Brioude,3.385767464042903,45.296144957585042
Brive-la-Gaillarde,1.519117921862867,45.143470730204797
Bron,4.911940105106212,45.734672507818892
Bruxelles,4.358459000000000,50.843853000000003
Caen,-0.369908736803152,49.184972493878902
Cagnes-sur-Mer,7.152419190534664,43.672168998469637
Cahors,1.440553339208509,44.450845511022607
Calais,1.875494019326581,50.950805677285310
Calvi,8.759990867775844,42.545009603216421
Cambo-les-Bains,-1.386076347205873,43.361929472490679
Cambrai,3.242233469060893,50.170515215949862
Cambridge,0.129300000000000,52.204484999999998
Cancale,-1.865010996419084,48.683786081550402
Canet-Plage,3.032756000000000,42.692337999999999
Cannes,7.004858437495528,43.552108876873810
Canterbury,1.068117000000000,51.282031000000003
Cap d'Agde,3.512470000000000,43.285961999999998
