"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","04/07/2009","Monaco","Monaco","FABIAN CANCELLARA"
"2",2,"Étape 2","05/07/2009","Monaco","Brignoles","MARK CAVENDISH"
"3",3,"Étape 3","06/07/2009","Marseille","La Grande-Motte","MARK CAVENDISH"
"4",4,"Étape 4","07/07/2009","Montpellier","Montpellier","ASTANA"
"5",5,"Étape 5","08/07/2009","Le Cap d'Agde","Perpignan","THOMAS VOECKLER"
"6",6,"Étape 6","09/07/2009","Gérone","Barcelone","THOR HUSHOVD"
"7",7,"Étape 7","10/07/2009","Barcelone","Andorre","BRICE FEILLU"
"8",8,"Étape 8","11/07/2009","Andorre-la-Vieille","Saint-Girons","LUIS LEON SANCHEZ"
"9",9,"Étape 9","12/07/2009","Saint Gaudens","Tarbes","PIERRICK FEDRIGO"
"10",10,"Étape 10","14/07/2009","Limoges","Issoudun","MARK CAVENDISH"
"11",11,"Étape 11","15/07/2009","Vatan","Saint-Fargeau","MARK CAVENDISH"
"12",12,"Étape 12","16/07/2009","Tonnerre","Vittel","NICKI SORENSEN"
"13",13,"Étape 13","17/07/2009","Vittel","Colmar","HEINRICH HAUSSLER"
"14",14,"Étape 14","18/07/2009","Colmar","Besançon","SERGUEI IVANOV"
"15",15,"Étape 15","19/07/2009","Pontarlier","Verbier","ALBERTO CONTADOR"
"16",16,"Étape 16","21/07/2009","Martigny","Bourg Saint Maurice","SANDY CASAR"
"17",17,"Étape 17","22/07/2009","Bourg Saint Maurice","le_grand_bornand","FRANK SCHLECK"
"18",18,"Étape 18","23/07/2009","Annecy","Annecy","ALBERTO CONTADOR"
"19",19,"Étape 19","24/07/2009","Bourgoin-Jallieu","Aubenas","MARK CAVENDISH"
"20",20,"Étape 20","25/07/2009","Montélimar","Mont Ventoux","JUAN MANUEL GARATE"
"21",21,"Étape 21","26/07/2009","Montereau-Fault-Yonne","Paris Champs-Élysées","MARK CAVENDISH"
