"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","13/07/1950","Paris","Metz","JEAN GOLDSCHMIT"
"2",2,"Étape 2","14/07/1950","Metz","Liège","ADOLFO LEONI"
"3",3,"Étape 3","15/07/1950","Liège","Lille","REMO SABATINI"
"4",4,"Étape 4","16/07/1950","Lille","Rouen","STAN OCKERS"
"5",5,"Étape 5","17/07/1950","Rouen","Dinard","GIOVANNI CORRIERI"
"6",6,"Étape 6","19/07/1950","Dinard","Saint-Brieuc","FERDI KUBLER"
"7",7,"Étape 7","20/07/1950","Saint-Brieuc","Angers","NELLO LAUREDI"
"8",8,"Étape 8","21/07/1950","Angers","Niort","FIORENZO MAGNI"
"9",9,"Étape 9","22/07/1950","Niort","Bordeaux","ALFREDO PASOTTI"
"10",10,"Étape 10","23/07/1950","Bordeaux","Pau","MARCEL DUSSAULT"
"11",11,"Étape 11","25/07/1950","Pau","Saint Gaudens","GINO BARTALI"
"12",12,"Étape 12","26/07/1950","Saint Gaudens","Perpignan","MAURICE BLOMME"
"13",13,"Étape 13","27/07/1950","Perpignan","Nimes","MARCEL MOLINES"
"14",14,"Étape 14","28/07/1950","Nimes","Toulon","CUSTODIO DOS REIS"
"15",15,"Étape 15","29/07/1950","Toulon","Menton","JEAN DIEDERICH"
"16",16,"Étape 16","30/07/1950","Menton","Nice","FERDI KUBLER"
"17",17,"Étape 17","01/08/1950","Nice","Gap","RAPHAËL GEMINIANI"
"18",18,"Étape 18","02/08/1950","Gap","Briançon","LOUISON BOBET"
"19",19,"Étape 19","03/08/1950","Briançon","Saint-Etienne","RAPHAËL GEMINIANI"
"20",20,"Étape 20","05/08/1950","Saint-Etienne","Lyon","FERDI KUBLER"
"21",21,"Étape 21","06/08/1950","Lyon","Dijon","GINO SCIARDIS"
"22",22,"Étape 22","07/08/1950","Dijon","Paris","EMILE BAFFERT"
