"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","28/06/1914","Paris","Le Havre","PHILIPPE THYS"
"2",2,"Étape 2","30/06/1914","Le Havre","Cherbourg-en-Cotentin","JEAN ROSSIUS"
"3",3,"Étape 3","02/07/1914","Cherbourg-en-Cotentin","Brest","EMILE ENGEL"
"4",4,"Étape 4","04/07/1914","Brest","La Rochelle","OSCAR EGG"
"5",5,"Étape 5","06/07/1914","La Rochelle","Bayonne","OSCAR EGG"
"6",6,"Étape 6","08/07/1914","Bayonne","Luchon","FIRMIN LAMBOT"
"7",7,"Étape 7","10/07/1914","Luchon","Perpignan","JEAN ALAVOINE"
"8",8,"Étape 8","12/07/1914","Perpignan","Marseille","OCTAVE LAPIZE"
"9",9,"Étape 9","14/07/1914","Marseille","Nice","JEAN ROSSIUS"
"10",10,"Étape 10","16/07/1914","Nice","Grenoble","HENRI PELISSIER"
"11",11,"Étape 11","18/07/1914","Grenoble","Genève","GUSTAVE GARRIGOU"
"12",12,"Étape 12","20/07/1914","Genève","Belfort","HENRI PELISSIER"
"13",13,"Étape 13","22/07/1914","Belfort","Longwy","FRANÇOIS FABER"
"14",14,"Étape 14","24/07/1914","Longwy","Dunkerque","FRANÇOIS FABER"
"15",15,"Étape 15","26/07/1914","Dunkerque","Paris","HENRI PELISSIER"
