"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","04/07/1935","Paris","Lille","ROMAIN MAES"
"2",2,"Étape 2","05/07/1935","Lille","Charleville-Mézières","CHARLES PELISSIER"
"3",3,"Étape 3","06/07/1935","Charleville-Mézières","Metz","RAFAËLE DI PACO"
"4",4,"Étape 4","07/07/1935","Metz","Belfort","JEAN AERTS"
"5",5,"Étape 5.1","08/07/1935","Belfort","Genève",NA
"6",6,"Étape 5.2","08/07/1935","Genève","Evian-les-Bains","RENÉ VIETTO"
"7",7,"Étape 6","10/07/1935","Evian-les-Bains","Aix-les-Bains","FRANCESCO CAMUSSO"
"8",8,"Étape 7","11/07/1935","Aix-les-Bains","Grenoble","JEAN AERTS"
"9",9,"Étape 8","12/07/1935","Grenoble","Gap","RENÉ VIETTO"
"10",10,"Étape 9","13/07/1935","Gap","Digne-les-Bains","JEAN AERTS"
"11",11,"Étape 10","14/07/1935","Digne-les-Bains","Nice","ROMAIN MAES"
"12",12,"Étape 11","16/07/1935","Nice","Cannes","CHARLES PELISSIER"
"13",13,"Étape 12","17/07/1935","Cannes","Marseille",NA
"14",14,"Étape 13.1","18/07/1935","Marseille","Nimes",NA
"15",15,"Étape 13.2","18/07/1935","Nimes","Montpellier","SYLVÈRE MAES"
"16",16,"Étape 14.1","19/07/1935","Montpellier","Narbonne","AMBROGIO MORELLI"
"17",17,"Étape 14.2","19/07/1935","Narbonne","Perpignan","JULIEN MOINEAU"
"18",18,"Étape 15","20/07/1935","Perpignan","Luchon",NA
"19",19,"Étape 16","22/07/1935","Luchon","Pau",NA
"20",20,"Étape 17","24/07/1935","Pau","Bordeaux",NA
"21",21,"Étape 18.1","25/07/1935","Bordeaux","Rochefort","ROMAIN MAES"
"22",22,"Étape 18.2","25/07/1935","Rochefort","La Rochelle",NA
"23",23,"Étape 19.1","26/07/1935","La Rochelle","La Roche-sur-Yon",NA
"24",24,"Étape 19.2","26/07/1935","La Roche-sur-Yon","Nantes",NA
"25",25,"Étape 20.1","27/07/1935","Nantes","Vire",NA
"26",26,"Étape 20.2","27/07/1935","Vire","Caen",NA
"27",27,"Étape 21","28/07/1935","Caen","Paris",NA
