"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","29/06/1967","Angers","Angers","WALTER GODEFROOT"
"2",2,"Étape 1","30/06/1967","Angers","Saint-Malo","WILLY VAN NESTE"
"3",3,"Étape 2","01/07/1967","Saint-Malo","Caen","MARINO BASSO"
"4",4,"Étape 3","02/07/1967","Caen","Amiens","GUIDO REYBROECK"
"5",5,"Étape 4","03/07/1967","Amiens","Roubaix",NA
"6",6,"Étape 5.1","04/07/1967","Roubaix","Jambes","HERMAN VANSPRINGEL"
"7",7,"Étape 5.2","04/07/1967","Jambes","Jambes","MICHAËL WRIGHT"
"8",8,"Étape 6","05/07/1967","Jambes","Metz","LUCIEN AIMAR"
"9",9,"Étape 7","06/07/1967","Metz","Strasbourg","GUIDO REYBROECK"
"10",10,"Étape 8","07/07/1967","Strasbourg","Ballon d'Alsace","FELICE GIMONDI"
"11",11,"Étape 9","09/07/1967","Belfort","Divonne","JOSÉ SAMYN"
"12",12,"Étape 10","10/07/1967","Divonne","Briançon","RAYMOND RIOTTE"
"13",13,"Étape 11","11/07/1967","Briançon","Digne-les-Bains","JAN JANSSEN"
"14",14,"Étape 12","12/07/1967","Digne-les-Bains","Marseille","BARRY HOBAN"
"15",15,"Étape 13","13/07/1967","Marseille","Carpentras","ROLF WOLFSHOHL"
"16",16,"Étape 14","14/07/1967","Carpentras","Sète","FERNANDO MANZANEQUE"
"17",17,"Étape 15","16/07/1967","Sète","Toulouse","RAYMOND MASTROTTO"
"18",18,"Étape 16","17/07/1967","Toulouse","Luchon","MARINO BASSO"
"19",19,"Étape 17","18/07/1967","Luchon","Pau","JEAN STABLINSKI"
"20",20,"Étape 18","19/07/1967","Pau","Bordeaux","FELICE GIMONDI"
"21",21,"Étape 19","20/07/1967","Bordeaux","Limoges","PAUL LEMETAYER"
"22",22,"Étape 20","21/07/1967","Limoges","Puy de Dôme",NA
"23",23,"Étape 21","22/07/1967","Clermont-Ferrand","Fontainebleau",NA
"24",24,"Étape 22.1","23/07/1967","Fontainebleau","Versailles",NA
"25",25,"Étape 22.2","23/07/1967","Versailles","Paris",NA
