"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","05/07/2003","Paris","Paris","ALESSANDRO PETACCHI"
"2",2,"Étape 1","06/07/2003","Montgeron","Meaux","BADEN COOKE"
"3",3,"Étape 2","07/07/2003","La Ferté-sous-Jouarre","Sedan","ALESSANDRO PETACCHI"
"4",4,"Étape 3","08/07/2003","Charleville-Mézières","Saint-Dizier","US POSTAL - BERRY FLOOR"
"5",5,"Étape 4","09/07/2003","Joinville","Saint-Dizier","ALESSANDRO PETACCHI"
"6",6,"Étape 5","10/07/2003","Troyes","Nevers","ALESSANDRO PETACCHI"
"7",7,"Étape 6","11/07/2003","Nevers","Lyon","RICHARD VIRENQUE"
"8",8,"Étape 7","12/07/2003","Lyon","Morzine","IBAN MAYO"
"9",9,"Étape 8","13/07/2003","Sallanches","L'Alpe-d'Huez","ALEXANDRE VINOKOUROV"
"10",10,"Étape 9","14/07/2003","Bourg-d'Oisans","Gap","JAKOB PIIL"
"11",11,"Étape 10","15/07/2003","Gap","Marseille","JUAN ANTONIO FLECHA GIANNONI"
"12",12,"Étape 11","17/07/2003","Narbonne","Toulouse","JAN ULLRICH"
"13",13,"Étape 12","18/07/2003","Gaillac","Cap Découverte","CARLOS SASTRE"
"14",14,"Étape 13","19/07/2003","Toulouse","Ax 3 Domaines","GILBERTO SIMONI"
"15",15,"Étape 14","20/07/2003","Saint-Girons","loudenvielle_le_louron",NA
"16",16,"Étape 15","21/07/2003","Bagnères-de-Bigorre","Luz-Ardiden","TYLER HAMILTON"
"17",17,"Étape 16","23/07/2003","Pau","Bayonne","SERVAIS KNAVEN"
"18",18,"Étape 17","24/07/2003","Dax","Bordeaux","PABLO LASTRAS GARCIA"
"19",19,"Étape 18","25/07/2003","Bordeaux","Saint-Maixent-L'Ecole","DAVID MILLAR"
"20",20,"Étape 19","26/07/2003","Pornic","Nantes","JEAN-PATRICK NAZON"
"21",21,"Étape 20","27/07/2003","Ville d'Avray","Paris",NA
