"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","26/06/1921","Paris","Le Havre","LOUIS MOTTIAT"
"2",2,"Étape 2","28/06/1921","Le Havre","Cherbourg-en-Cotentin","ROMAIN BELLENGER"
"3",3,"Étape 3","30/06/1921","Cherbourg-en-Cotentin","Brest","LÉON SCIEUR"
"4",4,"Étape 4","02/07/1921","Brest","Les Sables","LOUIS MOTTIAT"
"5",5,"Étape 5","04/07/1921","Les Sables","Bayonne","LOUIS MOTTIAT"
"6",6,"Étape 6","06/07/1921","Bayonne","Luchon","HECTOR HEUSGHEM"
"7",7,"Étape 7","08/07/1921","Luchon","Perpignan","LOUIS MOTTIAT"
"8",8,"Étape 8","10/07/1921","Perpignan","Toulon","LUIGI LUCOTTI"
"9",9,"Étape 9","12/07/1921","Toulon","Nice","FIRMIN LAMBOT"
"10",10,"Étape 10","14/07/1921","Nice","Grenoble","LÉON SCIEUR"
"11",11,"Étape 11","16/07/1921","Grenoble","Genève","FÉLIX GOETHALS"
"12",12,"Étape 12","18/07/1921","Genève","Strasbourg",NA
"13",13,"Étape 13","20/07/1921","Strasbourg","Metz","FÉLIX SELLIER"
"14",14,"Étape 14","22/07/1921","Metz","Dunkerque","FÉLIX GOETHALS"
"15",15,"Étape 15","24/07/1921","Dunkerque","Paris","FÉLIX GOETHALS"
