"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","27/06/1974","Brest","Brest","ERCOLE GUALAZZINI"
"2",2,"Étape 1","28/06/1974","Brest","Saint-Pol de Léon","HENK POPPE"
"3",3,"Étape 2","29/06/1974","Plymouth","Plymouth","PATRICK SERCU"
"4",4,"Étape 3","30/06/1974","Morlaix","Saint-Malo","PATRICK SERCU"
"5",5,"Étape 4","01/07/1974","Saint-Malo","Caen","RONALD DE WITTE"
"6",6,"Étape 5","02/07/1974","Caen","Dieppe",NA
"7",7,"Étape 6.1","03/07/1974","Dieppe","Harelbeke","EDDY MERCKX"
"8",8,"Étape 6.2","03/07/1974","Harelbeke","Harelbeke",NA
"9",9,"Étape 7","04/07/1974","Mons","Chalons-sur-Marne","EDDY MERCKX"
"10",10,"Étape 8.1","05/07/1974","Chalons-sur-Marne","Chaumont","EDDY MERCKX"
"11",11,"Étape 8.2","05/07/1974","Chaumont","Besançon","VICENTE LOPEZ-CARRIL"
"12",12,"Étape 9","06/07/1974","Besançon","Gaillard","JOSEPH SPRUYT"
"13",13,"Étape 10","07/07/1974","Gaillard","Aix-les-Bains","BARRY HOBAN"
"14",14,"Étape 11","09/07/1974","Aix-les-Bains","Serre-Chevalier","JEAN-PIERRE GENET"
"15",15,"Étape 12","10/07/1974","Savines","Orange","EDDY MERCKX"
"16",16,"Étape 13","11/07/1974","Avignon","Montpellier","RAYMOND POULIDOR"
"17",17,"Étape 14","12/07/1974","Lodève","Colomiers","JEAN-PIERRE DANGUILLAUME"
"18",18,"Étape 15","14/07/1974","Colomiers","Seo de Urgel","JEAN-PIERRE DANGUILLAUME"
"19",19,"Étape 16","15/07/1974","Seo de Urgel","Saint-Lary-Soulan Col du Portet",NA
"20",20,"Étape 17","16/07/1974","Saint-Lary-Soulan Col du Portet","Col du Tourmalet","GÉRARD VIANEN"
"21",21,"Étape 18","17/07/1974","Bagnères-de-Bigorre","Pau",NA
"22",22,"Étape 19.1","18/07/1974","Pau","Bordeaux","EDDY MERCKX"
"23",23,"Étape 19.2","18/07/1974","Bordeaux","Bordeaux",NA
"24",24,"Étape 20","19/07/1974","Saint-Gilles-Croix-de-Vie","Nantes",NA
"25",25,"Étape 21.1","20/07/1974","Vouvray","Orléans",NA
"26",26,"Étape 21.2","20/07/1974","Orléans","Orléans",NA
"27",27,"Étape 22","21/07/1974","Orléans","Paris",NA
