"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","26/06/1971","Mulhouse","Mulhouse",NA
"2",2,"Étape 1.1","27/06/1971","Mulhouse","Bâle","EDDY MERCKX"
"3",3,"Étape 1.2","27/06/1971","Bâle","Fribourg","MARINUS ''RINI'' WAGTMANS"
"4",4,"Étape 1.3","27/06/1971","Fribourg","Mulhouse","JEAN-PIERRE GENET"
"5",5,"Étape 2","28/06/1971","Mulhouse","Strasbourg","PIETRO GUERRA"
"6",6,"Étape 3","29/06/1971","Strasbourg","Nancy",NA
"7",7,"Étape 4","30/06/1971","Nancy","Marche en Famenne","ERIC LEMAN"
"8",8,"Étape 5","01/07/1971","Dinant","Roubaix","LUIS OCANA"
"9",9,"Étape 6.1","02/07/1971","Roubaix","Amiens","WALTER GODEFROOT"
"10",10,"Étape 6.2","02/07/1971","Amiens","Le Touquet-Paris-Plage","BERNARD THEVENET"
"11",11,"Étape 7","04/07/1971","Rungis","Nevers","LUIS OCANA"
"12",12,"Étape 8","05/07/1971","Nevers","Puy de Dôme","LUCIANO ARMANI"
"13",13,"Étape 9","06/07/1971","Clermont-Ferrand","Saint-Etienne","EDDY MERCKX"
"14",14,"Étape 10","07/07/1971","Saint-Etienne","Grenoble","JOSE-MANUEL FUENTE"
"15",15,"Étape 11","08/07/1971","Grenoble","Orcières-Merlette","JOSE-MANUEL FUENTE"
"16",16,"Étape 12","10/07/1971","Orcières-Merlette","Marseille",NA
"17",17,"Étape 13","11/07/1971","Albi","Albi","EDDY MERCKX"
"18",18,"Étape 14","12/07/1971","Revel","Luchon","JEAN-PIERRE DANGUILLAUME"
"19",19,"Étape 15","13/07/1971","Luchon","Superbagnères","JAN KREKELS"
"20",20,"Étape 16.1","14/07/1971","Luchon","Gourette","EDDY MERCKX"
"21",21,"Étape 16.2","14/07/1971","Gourette","Pau",NA
"22",22,"Étape 17","15/07/1971","Mont de Marsan","Bordeaux",NA
"23",23,"Étape 18","16/07/1971","Bordeaux","Poitiers",NA
"24",24,"Étape 19","17/07/1971","Blois","Versailles",NA
"25",25,"Étape 20","18/07/1971","Versailles","Paris",NA
