"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","04/07/1992","Saint-Sébastien","Saint-Sébastien","DOMINIQUE ARNOULD"
"2",2,"Étape 1","05/07/1992","Saint-Sébastien","Saint-Sébastien","JAVIER MURGUIALDAY"
"3",3,"Étape 2","06/07/1992","Saint-Sébastien","Pau","ROB HARMELING"
"4",4,"Étape 3","07/07/1992","Pau","Bordeaux","PANASONIC-SPORTLIFE"
"5",5,"Étape 4","08/07/1992","Libourne","Libourne","GUIDO BONTEMPI"
"6",6,"Étape 5","09/07/1992","Nogent-sur-Oise","Wasquehal","LAURENT JALABERT"
"7",7,"Étape 6","10/07/1992","Roubaix","Bruxelles","GILLES DELION"
"8",8,"Étape 7","11/07/1992","Bruxelles","Valkenburg","JAN NEVENS"
"9",9,"Étape 8","12/07/1992","Valkenburg","Coblence","MIGUEL INDURAIN"
"10",10,"Étape 9","13/07/1992","Luxembourg","Luxembourg","JEAN-PAUL VAN POPPEL"
"11",11,"Étape 10","14/07/1992","Luxembourg","Strasbourg","LAURENT FIGNON"
"12",12,"Étape 11","15/07/1992","Strasbourg","Mulhouse","ROLF JAERMANN"
"13",13,"Étape 12","17/07/1992","Dole","Saint-Gervais","CLAUDIO CHIAPPUCCI"
"14",14,"Étape 13","18/07/1992","Saint-Gervais","Sestrières","ANDREW ''ANDY'' HAMPSTEN"
"15",15,"Étape 14","19/07/1992","Sestrières","L'Alpe-d'Huez","FRANCO CHIOCCIOLI"
"16",16,"Étape 15","20/07/1992","Bourg-d'Oisans","Saint-Etienne","STEPHEN ROCHE"
"17",17,"Étape 16","21/07/1992","Saint-Etienne","La Bourboule","JEAN-CLAUDE COLOTTI"
"18",18,"Étape 17","22/07/1992","La Bourboule","Montluçon","THIERRY MARIE"
"19",19,"Étape 18","23/07/1992","Montluçon","Tours","MIGUEL INDURAIN"
"20",20,"Étape 19","24/07/1992","Tours","Blois","PETER DECLERCQ"
"21",21,"Étape 20","25/07/1992","Blois","Nanterre","OLAF LUDWIG"
"22",22,"Étape 21","26/07/1992","La Défense","Paris",NA
