"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","04/07/1951","Metz","Reims","GIOVANNI ROSSI"
"2",2,"Étape 2","05/07/1951","Reims","Gand","JEAN DIEDERICH"
"3",3,"Étape 3","06/07/1951","Gand","Le Tréport","GEORGES MEUNIER"
"4",4,"Étape 4","07/07/1951","Le Tréport","Paris","ROGER LEVEQUE"
"5",5,"Étape 5","08/07/1951","Paris","Caen","SERIFANO BIAGIONI"
"6",6,"Étape 6","09/07/1951","Caen","Rennes","EDOUARD MULLER"
"7",7,"Étape 7","10/07/1951","La Guerche","Angers","HUGO KOBLET"
"8",8,"Étape 8","11/07/1951","Angers","Limoges","LOUISON BOBET"
"9",9,"Étape 9","13/07/1951","Limoges","Clermont-Ferrand","RAPHAËL GEMINIANI"
"10",10,"Étape 10","14/07/1951","Clermont-Ferrand","Brive-la-Gaillarde","BERNARDO RUIZ"
"11",11,"Étape 11","15/07/1951","Brive-la-Gaillarde","Agen","HUGO KOBLET"
"12",12,"Étape 12","16/07/1951","Agen","Dax","WIM VAN EST"
"13",13,"Étape 13","17/07/1951","Dax","Tarbes","SERIFANO BIAGIONI"
"14",14,"Étape 14","18/07/1951","Tarbes","Luchon","HUGO KOBLET"
"15",15,"Étape 15","19/07/1951","Luchon","Carcassonne","ANDRÉ ROSSEEL"
"16",16,"Étape 16","20/07/1951","Carcassonne","Montpellier","HUGO KOBLET"
"17",17,"Étape 17","22/07/1951","Montpellier","Avignon","LOUISON BOBET"
"18",18,"Étape 18","23/07/1951","Avignon","Marseille","FIORENZO MAGNI"
"19",19,"Étape 19","24/07/1951","Marseille","Gap","ARMAND BAEYENS"
"20",20,"Étape 20","25/07/1951","Gap","Briançon","FAUSTO COPPI"
"21",21,"Étape 21","26/07/1951","Briançon","Aix-les-Bains","BERNARDO RUIZ"
"22",22,"Étape 22","27/07/1951","Aix-les-Bains","Genève","HUGO KOBLET"
"23",23,"Étape 23","28/07/1951","Genève","Dijon","GERMAIN DE RIJCKE"
"24",24,"Étape 24","29/07/1951","Dijon","Paris","ADOLPHE DELEDDA"
