"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1.1","26/06/1960","Lille","Bruxelles",NA
"2",2,"Étape 1.2","26/06/1960","Bruxelles","Bruxelles","RENÉ PRIVAT"
"3",3,"Étape 2","27/06/1960","Bruxelles","Dunkerque","NINO DEFILIPPIS"
"4",4,"Étape 3","28/06/1960","Dunkerque","Dieppe","JEAN GRACZYK"
"5",5,"Étape 4","29/06/1960","Dieppe","Caen","ANDRÉ DARRIGADE"
"6",6,"Étape 5","30/06/1960","Caen","Saint-Malo","ROGER RIVIERE"
"7",7,"Étape 6","01/07/1960","Saint-Malo","Lorient","GRAZIANO BATTISTINI"
"8",8,"Étape 7","02/07/1960","Lorient","Angers","NINO DEFILIPPIS"
"9",9,"Étape 8","03/07/1960","Angers","Limoges","MARTIN VAN GENEUGDEN"
"10",10,"Étape 9","04/07/1960","Limoges","Bordeaux","ROGER RIVIERE"
"11",11,"Étape 10","05/07/1960","Mont de Marsan","Pau","KURT GIMMI"
"12",12,"Étape 11","06/07/1960","Pau","Luchon","JEAN GRACZYK"
"13",13,"Étape 12","07/07/1960","Luchon","Toulouse","LOUIS PROOST"
"14",14,"Étape 13","08/07/1960","Toulouse","Millau","MARTIN VAN GENEUGDEN"
"15",15,"Étape 14","10/07/1960","Millau","Avignon","MICHEL VAN AERDE"
"16",16,"Étape 15","11/07/1960","Avignon","Gap","GRAZIANO BATTISTINI"
"17",17,"Étape 16","12/07/1960","Gap","Briançon","JEAN GRACZYK"
"18",18,"Étape 17","13/07/1960","Briançon","Aix-les-Bains","FERNANDO MANZANEQUE"
"19",19,"Étape 18","14/07/1960","Aix-les-Bains","Thonon","ROLF GRAF"
"20",20,"Étape 19","15/07/1960","Pontarlier","Besançon","PIERRE BEUFFEUIL"
"21",21,"Étape 20","16/07/1960","Besançon","Troyes","JEAN GRACZYK"
"22",22,"Étape 21","17/07/1960","Troyes","Paris",NA
