"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","25/06/1947","Paris","Lille","FERDI KUBLER"
"2",2,"Étape 2","26/06/1947","Lille","Bruxelles","RENÉ VIETTO"
"3",3,"Étape 3","27/06/1947","Bruxelles","Luxembourg","ALDO RONCONI"
"4",4,"Étape 4","28/06/1947","Luxembourg","Strasbourg","JEAN ROBIC"
"5",5,"Étape 5","29/06/1947","Strasbourg","Besançon","FERDI KUBLER"
"6",6,"Étape 6","01/07/1947","Besançon","Lyon","LUCIEN TEISSEIRE"
"7",7,"Étape 7","02/07/1947","Lyon","Grenoble","JEAN ROBIC"
"8",8,"Étape 8","03/07/1947","Grenoble","Briançon","FERMO CAMELLINI"
"9",9,"Étape 9","05/07/1947","Briançon","Digne-les-Bains","RENÉ VIETTO"
"10",10,"Étape 10","06/07/1947","Digne-les-Bains","Nice","FERMO CAMELLINI"
"11",11,"Étape 11","08/07/1947","Nice","Marseille","EDOUARD FACHLEITNER"
"12",12,"Étape 12","09/07/1947","Marseille","Montpellier","HENRI MASSAL"
"13",13,"Étape 13","10/07/1947","Montpellier","Carcassonne","LUCIEN TEISSEIRE"
"14",14,"Étape 14","11/07/1947","Carcassonne","Luchon","ALBERT BOURLON"
"15",15,"Étape 15","13/07/1947","Luchon","Pau","JEAN ROBIC"
"16",16,"Étape 16","14/07/1947","Pau","Bordeaux","PIERRE TACCA"
"17",17,"Étape 17","15/07/1947","Bordeaux","Les Sables","ELOI TASSIN"
"18",18,"Étape 18","16/07/1947","Les Sables","Nantes","PIETRO TARCHINI"
"19",19,"Étape 19","18/07/1947","Vannes","Saint-Brieuc","RAYMOND IMPANIS"
"20",20,"Étape 20","19/07/1947","Saint-Brieuc","Caen","MAURICE DIOT"
"21",21,"Étape 21","20/07/1947","Caen","Paris","BRIK SCHOTTE"
