"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","29/06/1913","Paris","Le Havre","CLAUDIO MICHELOTTO"
"2",2,"Étape 2","01/07/1913","Le Havre","Cherbourg-en-Cotentin","JULES MASSELIS"
"3",3,"Étape 3","03/07/1913","Cherbourg-en-Cotentin","Brest","HENRI PELISSIER"
"4",4,"Étape 4","05/07/1913","Brest","La Rochelle","MARCEL BUYSSE"
"5",5,"Étape 5","07/07/1913","La Rochelle","Bayonne","HENRI VAN LERBERGHE"
"6",6,"Étape 6","09/07/1913","Bayonne","Luchon","PHILIPPE THYS"
"7",7,"Étape 7","11/07/1913","Luchon","Perpignan","MARCEL BUYSSE"
"8",8,"Étape 8","13/07/1913","Perpignan","Aix en Provence","GUSTAVE GARRIGOU"
"9",9,"Étape 9","15/07/1913","Aix en Provence","Nice","FIRMIN LAMBOT"
"10",10,"Étape 10","17/07/1913","Nice","Grenoble","FRANÇOIS FABER"
"11",11,"Étape 11","19/07/1913","Grenoble","Genève","MARCEL BUYSSE"
"12",12,"Étape 12","21/07/1913","Genève","Belfort","MARCEL BUYSSE"
"13",13,"Étape 13","23/07/1913","Belfort","Longwy","FRANÇOIS FABER"
"14",14,"Étape 14","25/07/1913","Longwy","Dunkerque","MARCEL BUYSSE"
"15",15,"Étape 15","27/07/1913","Dunkerque","Paris","MARCEL BUYSSE"
