"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","03/07/1999","Puy-du-Fou","Puy-du-Fou","JAAN KIRSIPUU"
"2",2,"Étape 1","04/07/1999","Montaigu","Challans","TOM STEELS"
"3",3,"Étape 2","05/07/1999","Challans","Saint Nazaire","TOM STEELS"
"4",4,"Étape 3","06/07/1999","Nantes","Laval","MARIO CIPOLLINI"
"5",5,"Étape 4","07/07/1999","Laval","Blois","MARIO CIPOLLINI"
"6",6,"Étape 5","08/07/1999","Bonneval","Amiens","MARIO CIPOLLINI"
"7",7,"Étape 6","09/07/1999","Amiens","Maubeuge","MARIO CIPOLLINI"
"8",8,"Étape 7","10/07/1999","Avesnes-sur-Helpe","Thionville",NA
"9",9,"Étape 8","11/07/1999","Metz","Metz",NA
"10",10,"Étape 9","13/07/1999","le_grand_bornand","Sestrières","GIUSEPPE GUERINI"
"11",11,"Étape 10","14/07/1999","Sestrières","L'Alpe-d'Huez","LUDO DIERCKXSENS"
"12",12,"Étape 11","15/07/1999","Bourg-d'Oisans","Saint-Etienne","DAVID ETXEBARRIA"
"13",13,"Étape 12","16/07/1999","Saint-Galmier","Saint-Flour","SALVATORE COMMESSO"
"14",14,"Étape 13","17/07/1999","Saint-Flour","Albi","DIMITRI KONYSHEV"
"15",15,"Étape 14","18/07/1999","Castres","Saint Gaudens","FERNANDO ESCARTIN"
"16",16,"Étape 15","20/07/1999","Saint Gaudens","Piau-Engaly","DAVID ETXEBARRIA"
"17",17,"Étape 16","21/07/1999","Lannemezan","Pau","TOM STEELS"
"18",18,"Étape 17","22/07/1999","Mourenx","Bordeaux","GIANPAOLO MONDINI"
"19",19,"Étape 18","23/07/1999","Jonzac","Futuroscope",NA
"20",20,"Étape 19","24/07/1999","Futuroscope","Futuroscope","ROBBIE MC EWEN"
"21",21,"Étape 20","25/07/1999","Arpajon","Paris",NA
