"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","30/06/1990","Futuroscope","Futuroscope","FRANS MAASSEN"
"2",2,"Étape 1","01/07/1990","Futuroscope","Futuroscope","PANASONIC-SPORTLIFE"
"3",3,"Étape 2","01/07/1990","Futuroscope","Futuroscope","MORENO ARGENTIN"
"4",4,"Étape 3","02/07/1990","Poitiers","Nantes","JOHAN MUSEEUW"
"5",5,"Étape 4","03/07/1990","Nantes","Mont-Saint-Michel","GERRIT SOLLEVELD"
"6",6,"Étape 5","04/07/1990","Avranches","Rouen","JELLE NIJDAM"
"7",7,"Étape 6","06/07/1990","Sarrebourg","Vittel","RAÚL ALCALÁ"
"8",8,"Étape 7","07/07/1990","Vittel","Epinal","OLAF LUDWIG"
"9",9,"Étape 8","08/07/1990","Epinal","Besançon","MASSIMO GHIROTTO"
"10",10,"Étape 9","09/07/1990","Besançon","Genève","THIERRY CLAVEYROLAT"
"11",11,"Étape 10","10/07/1990","Genève","Saint-Gervais","GIANNI BUGNO"
"12",12,"Étape 11","11/07/1990","Saint-Gervais","L'Alpe-d'Huez","ERIK BREUKINK"
"13",13,"Étape 12","12/07/1990","Fontaine","Villard-de-Lans","EDUARDO CHOZAS OLMO"
"14",14,"Étape 13","14/07/1990","Villard-de-Lans","Saint-Etienne","MARINO LEJARETTA"
"15",15,"Étape 14","15/07/1990","Le Puy en Velay","Millau","CHARLY MOTTET"
"16",16,"Étape 15","16/07/1990","Millau","Revel","MIGUEL INDURAIN"
"17",17,"Étape 16","17/07/1990","Blagnac","Luz-Ardiden","DIMITRI KONYSHEV"
"18",18,"Étape 17","18/07/1990","Lourdes","Pau","GIANNI BUGNO"
"19",19,"Étape 18","19/07/1990","Pau","Bordeaux","GUIDO BONTEMPI"
"20",20,"Étape 19","20/07/1990","Castillon-la-Bataille","Limoges","ERIK BREUKINK"
"21",21,"Étape 20","21/07/1990","Lac de Vassivière","Lac de Vassivière","JOHAN MUSEEUW"
"22",22,"Étape 21","22/07/1990","Brétigny-sur-Orge","Paris",NA
