"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","13/07/1908","Paris","Roubaix","GEORGES PASSERIEU"
"2",2,"Étape 2","15/07/1908","Roubaix","Metz","LUCIEN MAZAN DIT PETIT-BRETON"
"3",3,"Étape 3","17/07/1908","Metz","Belfort","FRANÇOIS FABER"
"4",4,"Étape 4","19/07/1908","Belfort","Lyon","FRANÇOIS FABER"
"5",5,"Étape 5","21/07/1908","Lyon","Grenoble","GEORGES PASSERIEU"
"6",6,"Étape 6","23/07/1908","Grenoble","Nice","JEAN-BAPTISTE DORTIGNACQ"
"7",7,"Étape 7","25/07/1908","Nice","Nimes","LUCIEN MAZAN DIT PETIT-BRETON"
"8",8,"Étape 8","27/07/1908","Nimes","Toulouse","FRANÇOIS FABER"
"9",9,"Étape 9","29/07/1908","Toulouse","Bayonne","LUCIEN MAZAN DIT PETIT-BRETON"
"10",10,"Étape 10","31/07/1908","Bayonne","Bordeaux","GEORGES PAULMIER"
"11",11,"Étape 11","02/08/1908","Bordeaux","Nantes","LUCIEN MAZAN DIT PETIT-BRETON"
"12",12,"Étape 12","04/08/1908","Nantes","Brest","FRANÇOIS FABER"
"13",13,"Étape 13","06/08/1908","Brest","Caen","GEORGES PASSERIEU"
"14",14,"Étape 14.1","09/08/1908","Caen","Paris",NA
"15",15,"Étape 14.2","09/08/1908","Caen","Paris",NA
