"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1.1","07/07/1955","Le Havre","Dieppe",NA
"2",2,"Étape 1.2","07/07/1955","Dieppe","Dieppe","ANTONIN ROLLAND"
"3",3,"Étape 2","08/07/1955","Dieppe","Roubaix","LOUISON BOBET"
"4",4,"Étape 3","09/07/1955","Roubaix","Namur","WILLY KEMP"
"5",5,"Étape 4","10/07/1955","Namur","Metz","ROGER HASSENFORDER"
"6",6,"Étape 5","11/07/1955","Metz","Colmar","ANDRÉ DARRIGADE"
"7",7,"Étape 6","12/07/1955","Colmar","Zurich","JOS HINSEN"
"8",8,"Étape 7","13/07/1955","Zurich","Thonon","CHARLY GAUL"
"9",9,"Étape 8","14/07/1955","Thonon","Briançon","RAPHAËL GEMINIANI"
"10",10,"Étape 9","15/07/1955","Briançon","Monaco","LUCIEN LAZARIDES"
"11",11,"Étape 10","17/07/1955","Monaco","Marseille","LOUISON BOBET"
"12",12,"Étape 11","18/07/1955","Marseille","Avignon","ALESSANDRO FANTINI"
"13",13,"Étape 12","19/07/1955","Avignon","Millau","DAAN DE GROOT"
"14",14,"Étape 13","20/07/1955","Millau","Albi","LOUIS CAPUT"
"15",15,"Étape 14","21/07/1955","Albi","Narbonne","LUCIANO PEZZI"
"16",16,"Étape 15","22/07/1955","Narbonne","Ax-les-Thermes","JEAN BOBET"
"17",17,"Étape 16","24/07/1955","Ax-les-Thermes","Toulouse","CHARLY GAUL"
"18",18,"Étape 17","25/07/1955","Toulouse","Saint Gaudens","JEAN BRANKART"
"19",19,"Étape 18","26/07/1955","Saint Gaudens","Pau","WOUT WAGTMANS"
"20",20,"Étape 19","27/07/1955","Pau","Bordeaux","JEAN FORESTIER"
"21",21,"Étape 20","28/07/1955","Bordeaux","Poitiers","JEAN BRANKART"
"22",22,"Étape 21","29/07/1955","Châtellerault","Tours","MIGUEL POBLET"
"23",23,"Étape 22","30/07/1955","Tours","Paris",NA
