"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","02/07/1911","Paris","Dunkerque","GUSTAVE GARRIGOU"
"2",2,"Étape 2","04/07/1911","Dunkerque","Longwy","JULES MASSELIS"
"3",3,"Étape 3","06/07/1911","Longwy","Belfort","FRANÇOIS FABER"
"4",4,"Étape 4","08/07/1911","Belfort","Chamonix","CHARLES CRUPELANDT"
"5",5,"Étape 5","10/07/1911","Chamonix","Grenoble","EMILE GEORGET"
"6",6,"Étape 6","12/07/1911","Grenoble","Nice","FRANÇOIS FABER"
"7",7,"Étape 7","14/07/1911","Nice","Marseille","CHARLES CRUPELANDT"
"8",8,"Étape 8","16/07/1911","Marseille","Perpignan","PAUL DUBOC"
"9",9,"Étape 9","18/07/1911","Perpignan","Luchon","PAUL DUBOC"
"10",10,"Étape 10","20/07/1911","Luchon","Bayonne","MAURICE BROCCO"
"11",11,"Étape 11","22/07/1911","Bayonne","La Rochelle","PAUL DUBOC"
"12",12,"Étape 12","23/07/1911","La Rochelle","Brest","MARCEL GODIVIER"
"13",13,"Étape 13","26/07/1911","Brest","Cherbourg-en-Cotentin","GUSTAVE GARRIGOU"
"14",14,"Étape 14","28/07/1911","Cherbourg-en-Cotentin","Le Havre","PAUL DUBOC"
"15",15,"Étape 15","30/07/1911","Le Havre","Paris","MARCEL GODIVIER"
