"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","07/07/2007","Londres","Londres","ROBBIE MC EWEN"
"2",2,"Étape 1","08/07/2007","Londres","Canterbury","GERT STEEGMANS"
"3",3,"Étape 2","09/07/2007","Dunkerque","Gand","FABIAN CANCELLARA"
"4",4,"Étape 3","10/07/2007","Waregem","Compiègne","THOR HUSHOVD"
"5",5,"Étape 4","11/07/2007","villers_cotterets","Joigny","FILIPPO POZZATO"
"6",6,"Étape 5","12/07/2007","Chablis","Autun","TOM BOONEN"
"7",7,"Étape 6","13/07/2007","semur_en_auxois","Bourg-en-Bresse","LINUS GERDEMANN"
"8",8,"Étape 7","14/07/2007","Bourg-en-Bresse","le_grand_bornand","MICHAEL RASMUSSEN"
"9",9,"Étape 8","15/07/2007","le_grand_bornand","Tignes","JUAN MAURICIO SOLER HERNANDEZ"
"10",10,"Étape 9","17/07/2007","val_d_isere","Briançon","CÉDRIC VASSEUR"
"11",11,"Étape 10","18/07/2007","Tallard","Marseille","ROBERT HUNTER"
"12",12,"Étape 11","19/07/2007","Marseille","Montpellier","TOM BOONEN"
"13",13,"Étape 12","20/07/2007","Montpellier","Castres","CADEL EVANS"
"14",14,"Étape 13","21/07/2007","Albi","Albi","ALBERTO CONTADOR"
"15",15,"Étape 14","22/07/2007","Mazamet","plateau_de_beille","KIM KIRCHEN"
"16",16,"Étape 15","23/07/2007","Foix","loudenvielle_le_louron","MICHAEL RASMUSSEN"
"17",17,"Étape 16","25/07/2007","Orthez","gourette_col_d_aubisque","DANIELE BENNATI"
"18",18,"Étape 17","26/07/2007","Pau","Castelsarrasin","SANDY CASAR"
"19",19,"Étape 18","27/07/2007","Cahors","Angoulême",NA
"20",20,"Étape 19","28/07/2007","Cognac","Angoulême","DANIELE BENNATI"
"21",21,"Étape 20","29/07/2007","Marcoussis","Paris Champs-Élysées",NA
