"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","02/07/2016","Mont-Saint-Michel","Utah Beach Sainte-Marie-du-Mont","MARK CAVENDISH"
"2",2,"Étape 2","03/07/2016","Saint-Lô","Cherbourg-en-Cotentin","PETER SAGAN"
"3",3,"Étape 3","04/07/2016","Granville","Angers","MARK CAVENDISH"
"4",4,"Étape 4","05/07/2016","Saumur","Limoges","MARCEL KITTEL"
"5",5,"Étape 5","06/07/2016","Limoges","Le Lioran","GREG VAN AVERMAET"
"6",6,"Étape 6","07/07/2016","Arpajon-sur-Cère","Montauban","MARK CAVENDISH"
"7",7,"Étape 7","08/07/2016","L'Isle-Jourdain","Lac de Payolle","STEPHEN CUMMINGS"
"8",8,"Étape 8","09/07/2016","Pau","Bagnères-de-Luchon","CHRIS FROOME"
"9",9,"Étape 9","10/07/2016","Vielha Val d'Aran","Andorre","TOM DUMOULIN"
"10",10,"Étape 10","12/07/2016","Escaldes-Engordany","Revel","MICHAEL MATTHEWS"
"11",11,"Étape 11","13/07/2016","Carcassonne","Montpellier","PETER SAGAN"
"12",12,"Étape 12","14/07/2016","Montpellier","Mont Ventoux","THOMAS DE GENDT"
"13",13,"Étape 13","15/07/2016","Bourg-Saint-Andéol","La Caverne du Pont-d'Arc","TOM DUMOULIN"
"14",14,"Étape 14","16/07/2016","Montélimar","Villars-les-Dombes Parc des Oiseaux","MARK CAVENDISH"
"15",15,"Étape 15","17/07/2016","Bourg-en-Bresse","Culoz","JARLINSON PANTANO GOMEZ"
"16",16,"Étape 16","18/07/2016","Moirans-en-Montagne","Berne","PETER SAGAN"
"17",17,"Étape 17","20/07/2016","Berne","Finhaut-Emosson","ILNUR ZAKARIN"
"18",18,"Étape 18","21/07/2016","Sallanches","Megève","CHRIS FROOME"
"19",19,"Étape 19","22/07/2016","Albertville","Saint-Gervais Mont-Blanc","ROMAIN BARDET"
"20",20,"Étape 20","23/07/2016","Megève","Morzine","ION IZAGUIRRE INSAUSTI"
"21",21,"Étape 21","24/07/2016","Chantilly","Paris Champs-Élysées","ANDRÉ GREIPEL"
