"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","29/06/1919","Paris","Le Havre","JEAN ROSSIUS"
"2",2,"Étape 2","01/07/1919","Le Havre","Cherbourg-en-Cotentin","HENRI PELISSIER"
"3",3,"Étape 3","03/07/1919","Cherbourg-en-Cotentin","Brest","FRANCIS PELISSIER"
"4",4,"Étape 4","05/07/1919","Brest","Les Sables","JEAN ALAVOINE"
"5",5,"Étape 5","07/07/1919","Les Sables","Bayonne","JEAN ALAVOINE"
"6",6,"Étape 6","09/07/1919","Bayonne","Luchon","HONORÉ BARTHELEMY"
"7",7,"Étape 7","11/07/1919","Luchon","Perpignan","JEAN ALAVOINE"
"8",8,"Étape 8","13/07/1919","Perpignan","Marseille","JEAN ALAVOINE"
"9",9,"Étape 9","15/07/1919","Marseille","Nice","HONORÉ BARTHELEMY"
"10",10,"Étape 10","17/07/1919","Nice","Grenoble","HONORÉ BARTHELEMY"
"11",11,"Étape 11","19/07/1919","Grenoble","Genève","HONORÉ BARTHELEMY"
"12",12,"Étape 12","21/07/1919","Genève","Strasbourg","LUIGI LUCOTTI"
"13",13,"Étape 13","23/07/1919","Strasbourg","Metz","LUIGI LUCOTTI"
"14",14,"Étape 14","25/07/1919","Metz","Dunkerque","FIRMIN LAMBOT"
"15",15,"Étape 15","27/07/1919","Dunkerque","Paris","JEAN ALAVOINE"
