"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","30/06/1948","Paris","Trouville","GINO BARTALI"
"2",2,"Étape 2","01/07/1948","Trouville","Dinard","VINCENZO ROSSELLO"
"3",3,"Étape 3","02/07/1948","Dinard","Nantes","GUY LAPEBIE"
"4",4,"Étape 4","03/07/1948","Nantes","La Rochelle","JACQUES PRAS"
"5",5,"Étape 5","04/07/1948","La Rochelle","Bordeaux","RAOUL REMY"
"6",6,"Étape 6","05/07/1948","Bordeaux","Biarritz","LOUISON BOBET"
"7",7,"Étape 7","07/07/1948","Biarritz","Lourdes","GINO BARTALI"
"8",8,"Étape 8","08/07/1948","Lourdes","Toulouse","GINO BARTALI"
"9",9,"Étape 9","10/07/1948","Toulouse","Montpellier","RAYMOND IMPANIS"
"10",10,"Étape 10","11/07/1948","Montpellier","Marseille","RAYMOND IMPANIS"
"11",11,"Étape 11","12/07/1948","Marseille","San Remo","GINO SCIARDIS"
"12",12,"Étape 12","13/07/1948","San Remo","Cannes","LOUISON BOBET"
"13",13,"Étape 13","15/07/1948","Cannes","Briançon","GINO BARTALI"
"14",14,"Étape 14","16/07/1948","Briançon","Aix-les-Bains","GINO BARTALI"
"15",15,"Étape 15","18/07/1948","Aix-les-Bains","Lausanne","GINO BARTALI"
"16",16,"Étape 16","19/07/1948","Lausanne","Mulhouse","EDWARD VAN DIJCK"
"17",17,"Étape 17","21/07/1948","Mulhouse","Strasbourg","ROGER LAMBRECHT"
"18",18,"Étape 18","22/07/1948","Strasbourg","Metz","GIOVANNI CORRIERI"
"19",19,"Étape 19","23/07/1948","Metz","Liège","GINO BARTALI"
"20",20,"Étape 20","24/07/1948","Liège","Roubaix","BERNARD GAUTHIER"
"21",21,"Étape 21","25/07/1948","Roubaix","Paris","GIOVANNI CORRIERI"
