"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","28/06/1985","Plumelec","Plumelec","RUDY MATTHIJS"
"2",2,"Étape 1","29/06/1985","Vannes","Lanester","RUDY MATTHIJS"
"3",3,"Étape 2","30/06/1985","Lorient","Vitré","LA VIE CLAIRE-WONDER-RADAR"
"4",4,"Étape 3","01/07/1985","Vitré","Fougères","GERRIT SOLLEVELD"
"5",5,"Étape 4","02/07/1985","Fougères","Pont-Audemer","HENRI MANDERS"
"6",6,"Étape 5","03/07/1985","Neufchatel-en-Bray","Roubaix","FRANCIS CASTAING"
"7",7,"Étape 6","04/07/1985","Roubaix","Reims","LUDWIG WIJNANTS"
"8",8,"Étape 7","05/07/1985","Reims","Nancy","BERNARD HINAULT"
"9",9,"Étape 8","06/07/1985","Sarrebourg","Strasbourg","MAARTEN DUCROT"
"10",10,"Étape 9","07/07/1985","Strasbourg","Epinal","JORGEN PEDERSEN"
"11",11,"Étape 10","08/07/1985","Epinal","Pontarlier","LUIS ''LUCHO'' HERRERA"
"12",12,"Étape 11","09/07/1985","Pontarlier","Avoriaz","FABIO PARRA"
"13",13,"Étape 12","10/07/1985","Morzine","Lans-en-Vercors","ERIC VANDERAERDEN"
"14",14,"Étape 13","11/07/1985","Lans-en-Vercors","Villard-de-Lans","LUIS ''LUCHO'' HERRERA"
"15",15,"Étape 14","13/07/1985","Autrans","Saint-Etienne","EDUARDO CHOZAS OLMO"
"16",16,"Étape 15","14/07/1985","Saint-Etienne","Aurillac","FRÉDÉRIC VICHOT"
"17",17,"Étape 16","15/07/1985","Aurillac","Toulouse","PEDRO DELGADO"
"18",18,"Étape 17","16/07/1985","Toulouse","Luz-Ardiden",NA
"19",19,"Étape 18.1","17/07/1985","Luz-Saint-Sauveur","Col d'Aubisque","ERIC VANDERAERDEN"
"20",20,"Étape 18.2","17/07/1985","Laruns","Pau","JOHAN LAMMERTS"
"21",21,"Étape 19","18/07/1985","Pau","Bordeaux","GREG LEMOND"
"22",22,"Étape 20","19/07/1985","Montpon-Monesterol","Limoges","RUDY MATTHIJS"
"23",23,"Étape 21","20/07/1985","Limoges","Lac de Vassivière",NA
"24",24,"Étape 22","21/07/1985","Orléans","Paris",NA
