"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","30/06/1973","Scheveningen","Scheveningen",NA
"2",2,"Étape 1.1","01/07/1973","Scheveningen","Rotterdam",NA
"3",3,"Étape 1.2","01/07/1973","Rotterdam","Saint-Nicolas","CYRILLE GUIMARD"
"4",4,"Étape 2.1","02/07/1973","Saint-Nicolas","Saint-Nicolas","JOOP ZOETEMELK"
"5",5,"Étape 2.2","02/07/1973","Saint-Nicolas","Roubaix","WALTER GODEFROOT"
"6",6,"Étape 3","03/07/1973","Roubaix","Reims","JEAN-PIERRE DANGUILLAUME"
"7",7,"Étape 4","04/07/1973","Reims","Nancy",NA
"8",8,"Étape 5","05/07/1973","Nancy","Mulhouse","LUIS OCANA"
"9",9,"Étape 6","06/07/1973","Belfort","Divonne","VICENTE LOPEZ-CARRIL"
"10",10,"Étape 7.1","08/07/1973","Divonne","Gaillard","MICHAËL WRIGHT"
"11",11,"Étape 7.2","08/07/1973","Gaillard","Méribel","BARRY HOBAN"
"12",12,"Étape 8","09/07/1973","Moûtiers","Les Orres",NA
"13",13,"Étape 9","10/07/1973","Embrun","Nice","LUIS OCANA"
"14",14,"Étape 10","11/07/1973","Nice","Aubagne","PEDRO TORRES"
"15",15,"Étape 11","12/07/1973","Montpellier","Argelès","WILFRIED DAVID"
"16",16,"Étape 12.1","13/07/1973","Perpignan","Thuir",NA
"17",17,"Étape 12.2","13/07/1973","Thuir","Pyrénées 2000","CLAUDE TOLLET"
"18",18,"Étape 13","15/07/1973","Bourg-Madame","Luchon","LUIS OCANA"
"19",19,"Étape 14","16/07/1973","Luchon","Pau","BARRY HOBAN"
"20",20,"Étape 15","17/07/1973","Pau","Fleurance",NA
"21",21,"Étape 16.1","18/07/1973","Fleurance","Bordeaux",NA
"22",22,"Étape 16.2","18/07/1973","Bordeaux","Bordeaux",NA
"23",23,"Étape 17","19/07/1973","Sainte-Foy-la-Grande","Brive-la-Gaillarde",NA
"24",24,"Étape 18","20/07/1973","Brive-la-Gaillarde","Puy de Dôme",NA
"25",25,"Étape 19","21/07/1973","Bourges","Versailles",NA
"26",26,"Étape 20.1","22/07/1973","Versailles","Versailles",NA
"27",27,"Étape 20.2","22/07/1973","Versailles","Paris",NA
