"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","06/07/1991","Lyon","Lyon","DJAMOLIDINE ABDOUJAPAROV"
"2",2,"Étape 1","07/07/1991","Lyon","Lyon","CERAMICHE-ARIOSTEA"
"3",3,"Étape 2","07/07/1991","Bron","Chassieu","ETIENNE DE WILDE"
"4",4,"Étape 3","08/07/1991","Villeurbanne","Dijon","DJAMOLIDINE ABDOUJAPAROV"
"5",5,"Étape 4","09/07/1991","Dijon","Reims","HENK NIJDAM"
"6",6,"Étape 5","10/07/1991","Reims","Valenciennes","THIERRY MARIE"
"7",7,"Étape 6","11/07/1991","Arras Citadelle","Le Havre","JEAN-PAUL VAN POPPEL"
"8",8,"Étape 7","12/07/1991","Le Havre","Argentan","MIGUEL INDURAIN"
"9",9,"Étape 8","13/07/1991","Argentan","Alençon","MAURO RIBEIRO"
"10",10,"Étape 9","14/07/1991","Alençon","Rennes","PHIL ANDERSON"
"11",11,"Étape 10","15/07/1991","Rennes","Quimper","CHARLY MOTTET"
"12",12,"Étape 11","16/07/1991","Quimper","Saint-Herblain","CHARLY MOTTET"
"13",13,"Étape 12","18/07/1991","Pau","Jaca","CLAUDIO CHIAPPUCCI"
"14",14,"Étape 13","19/07/1991","Jaca","Val Louron","BRUNO CENGHIALTA"
"15",15,"Étape 14","20/07/1991","Saint Gaudens","Castres","MORENO ARGENTIN"
"16",16,"Étape 15","21/07/1991","Albi","Alès","MARCO LIETTI"
"17",17,"Étape 16","22/07/1991","Alès","Gap","GIANNI BUGNO"
"18",18,"Étape 17","23/07/1991","Gap","L'Alpe-d'Huez","THIERRY CLAVEYROLAT"
"19",19,"Étape 18","24/07/1991","Bourg-d'Oisans","Morzine","DIMITRI KONYSHEV"
"20",20,"Étape 19","25/07/1991","Morzine","Aix-les-Bains","VJATCESLAV EKIMOV"
"21",21,"Étape 20","26/07/1991","Aix-les-Bains","Macon","MIGUEL INDURAIN"
"22",22,"Étape 21","27/07/1991","Lugny","Macon","DIMITRI KONYSHEV"
"23",23,"Étape 22","28/07/1991","Melun","Paris",NA
