"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","22/06/1964","Rennes","Lisieux","EDWARD SELS"
"2",2,"Étape 2","23/06/1964","Lisieux","Amiens","ANDRÉ DARRIGADE"
"3",3,"Étape 3.1","24/06/1964","Amiens","Forest",NA
"4",4,"Étape 3.2","24/06/1964","Forest","Forest","RUDI ALTIG"
"5",5,"Étape 4","25/06/1964","Forest","Metz","WILLY DERBOVEN"
"6",6,"Étape 5","26/06/1964","Lunéville","Fribourg","HENK NIJDAM"
"7",7,"Étape 6","27/06/1964","Fribourg","Besançon","JAN JANSSEN"
"8",8,"Étape 7","28/06/1964","Champagnole","Thonon","FEDERICO BAHAMONTES"
"9",9,"Étape 8","29/06/1964","Thonon","Briançon","JACQUES ANQUETIL"
"10",10,"Étape 9","30/06/1964","Briançon","Monaco",NA
"11",11,"Étape 10.1","01/07/1964","Monaco","Hyères","EDWARD SELS"
"12",12,"Étape 10.2","01/07/1964","Hyères","Toulon","JOHAN DE ROO"
"13",13,"Étape 11","02/07/1964","Toulon","Montpellier","JULIO JIMENEZ"
"14",14,"Étape 12","03/07/1964","Montpellier","Perpignan","EDWARD SELS"
"15",15,"Étape 13","04/07/1964","Perpignan","Andorre","RAYMOND POULIDOR"
"16",16,"Étape 14","06/07/1964","Andorre","Toulouse","FEDERICO BAHAMONTES"
"17",17,"Étape 15","07/07/1964","Toulouse","Luchon","JACQUES ANQUETIL"
"18",18,"Étape 16","08/07/1964","Luchon","Pau","ANDRÉ DARRIGADE"
"19",19,"Étape 17","09/07/1964","Peyrehorade","Bayonne","EDWARD SELS"
"20",20,"Étape 18","10/07/1964","Bayonne","Bordeaux","JULIO JIMENEZ"
"21",21,"Étape 19","11/07/1964","Bordeaux","Brive-la-Gaillarde","JEAN STABLINSKI"
"22",22,"Étape 20","12/07/1964","Brive-la-Gaillarde","Puy de Dôme",NA
"23",23,"Étape 21","13/07/1964","Clermont-Ferrand","Orléans",NA
"24",24,"Étape 22.1","14/07/1964","Orléans","Versailles",NA
"25",25,"Étape 22.2","14/07/1964","Versailles","Paris",NA
