"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","01/07/1972","Angers","Angers","CYRILLE GUIMARD"
"2",2,"Étape 1","02/07/1972","Angers","Saint-Brieuc","RIK VAN LINDEN"
"3",3,"Étape 2","03/07/1972","Saint-Brieuc","La Baule",NA
"4",4,"Étape 3.1","04/07/1972","Pornichet","Saint-Jean-de-Monts","CYRILLE GUIMARD"
"5",5,"Étape 3.2","04/07/1972","Merlin-Plage","Merlin-Plage",NA
"6",6,"Étape 4","05/07/1972","Merlin-Plage","Royan","LÉO DUYNDAM"
"7",7,"Étape 5.1","06/07/1972","Royan","Bordeaux","YVES HEZARD"
"8",8,"Étape 5.2","06/07/1972","Bordeaux","Bordeaux","EDDY MERCKX"
"9",9,"Étape 6","07/07/1972","Bordeaux","Bayonne","JOSEPH HUYSMANS"
"10",10,"Étape 7","09/07/1972","Bayonne","Pau","WILLY TEIRLINCK"
"11",11,"Étape 8","10/07/1972","Pau","Luchon","BERNARD THEVENET"
"12",12,"Étape 9","11/07/1972","Luchon","Colomiers","LUCIEN VAN IMPE"
"13",13,"Étape 10","12/07/1972","Castres","La Grande-Motte","EDDY MERCKX"
"14",14,"Étape 11","13/07/1972","Carnon","Mont Ventoux",NA
"15",15,"Étape 12","14/07/1972","Carpentras","Orcières-Merlette","CYRILLE GUIMARD"
"16",16,"Étape 13","16/07/1972","Orcières-Merlette","Briançon","WILLY TEIRLINCK"
"17",17,"Étape 14.1","17/07/1972","Briançon","Valloire","BERNARD THEVENET"
"18",18,"Étape 14.2","17/07/1972","Valloire","Aix-les-Bains","MARINUS ''RINI'' WAGTMANS"
"19",19,"Étape 15","18/07/1972","Aix-les-Bains","Mont Revard","JOSEPH BRUYERE"
"20",20,"Étape 16","19/07/1972","Aix-les-Bains","Pontarlier",NA
"21",21,"Étape 17","20/07/1972","Pontarlier","Ballon d'Alsace",NA
"22",22,"Étape 18","21/07/1972","Vesoul","Auxerre",NA
"23",23,"Étape 19","22/07/1972","Auxerre","Versailles",NA
"24",24,"Étape 20.1","23/07/1972","Versailles","Versailles",NA
"25",25,"Étape 20.2","23/07/1972","Versailles","Paris",NA
