"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","29/06/1978","Leiden","Leiden",NA
"2",2,"Étape 1.1","30/06/1978","Leiden","Saint-Willebrord","JACQUES ESCLASSAN"
"3",3,"Étape 1.2","30/06/1978","Saint-Willebrord","Bruxelles","KLAUS-PETER THALER"
"4",4,"Étape 2","01/07/1978","Bruxelles","Saint-Amand-les-Eaux","TI-RALEIGH-McGREGOR"
"5",5,"Étape 3","02/07/1978","Saint-Amand-les-Eaux","Saint-Germain-en-Laye","FREDDY MAERTENS"
"6",6,"Étape 4","03/07/1978","Evreux","Caen","SEAN KELLY"
"7",7,"Étape 5","04/07/1978","Caen","Mazé-Montgeoffroy","FREDDY MAERTENS"
"8",8,"Étape 6","05/07/1978","Mazé-Montgeoffroy","Poitiers","BERNARD HINAULT"
"9",9,"Étape 7","06/07/1978","Poitiers","Bordeaux","MIGUEL-MARIA LASA"
"10",10,"Étape 8","07/07/1978","Saint-Emilion","Sainte-Foy-la-Grande","HENK LUBBERDING"
"11",11,"Étape 9","08/07/1978","Bordeaux","Biarritz","MARIANO MARTINEZ"
"12",12,"Étape 10","10/07/1978","Biarritz","Pau",NA
"13",13,"Étape 11","11/07/1978","Pau","Saint-Lary-Soulan Col du Portet","PAUL WELLENS"
"14",14,"Étape 12.1","12/07/1978","Tarbes","Valence d'Agen","JOOP ZOETEMELK"
"15",15,"Étape 12.2","12/07/1978","Valence d'Agen","Toulouse","BERNARD HINAULT"
"16",16,"Étape 13","13/07/1978","Figeac","Besse","HENNIE KUIPER"
"17",17,"Étape 14","14/07/1978","Besse","Puy de Dôme","CHRISTIAN SEZNEC"
"18",18,"Étape 15","15/07/1978","Saint-Dier-d'Auvergne","Saint-Etienne","GERRIE KNETEMANN"
"19",19,"Étape 16","16/07/1978","Saint-Etienne","L'Alpe-d'Huez","MARC DEMEYER"
"20",20,"Étape 17","18/07/1978","Grenoble","Morzine","BERNARD HINAULT"
"21",21,"Étape 18","19/07/1978","Morzine","Lausanne","JAN RAAS"
"22",22,"Étape 19","20/07/1978","Lausanne","Belfort","GERRIE KNETEMANN"
"23",23,"Étape 20","21/07/1978","Metz","Nancy",NA
"24",24,"Étape 21","22/07/1978","Épernay","Senlis",NA
"25",25,"Étape 22","23/07/1978","Saint-Germain-en-Laye","Paris",NA
