"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 16","16/07/1986","Blagnac","Millau","NICO VERHOEVEN"
"2",2,"Prologue","01/07/1987","Berlin","Berlin","CARRERA JEANS"
"3",3,"Étape 1","02/07/1987","Berlin","Berlin","ACACIO DA SILVA"
"4",4,"Étape 2","02/07/1987","Berlin","Berlin","HERMAN FRISON"
"5",5,"Étape 3","04/07/1987","Karlsruhe","Stuttgart","MARC SERGEANT"
"6",6,"Étape 4","05/07/1987","Stuttgart","Pforzheim","CHRISTOPHE LAVAINNE"
"7",7,"Étape 5","05/07/1987","Pforzheim","Strasbourg","MANUEL-JORGE DOMINGUEZ"
"8",8,"Étape 6","06/07/1987","Strasbourg","Epinal","JEAN-PAUL VAN POPPEL"
"9",9,"Étape 7","07/07/1987","Epinal","Troyes","ADRI VAN DER POEL"
"10",10,"Étape 8","08/07/1987","Troyes","Epinay-sous-Sénart","STEPHEN ROCHE"
"11",11,"Étape 9","09/07/1987","Orléans","Renazé","MARTIAL GAYANT"
"12",12,"Étape 10","10/07/1987","Saumur","Futuroscope","DAVIS PHINNEY"
"13",13,"Étape 11","11/07/1987","Poitiers","Chaumeil","ERIK BREUKINK"
"14",14,"Étape 12","12/07/1987","Brive-la-Gaillarde","Bordeaux","DAG OTTO LAURITZEN"
"15",15,"Étape 13","13/07/1987","Bayonne","Pau","ROLF GOLZ"
"16",16,"Étape 14","14/07/1987","Pau","Luz Ardiden","RÉGIS CLERE"
"17",17,"Étape 15","15/07/1987","Tarbes","Blagnac","JEAN-PAUL VAN POPPEL"
"18",18,"Étape 17","17/07/1987","Millau","Avignon","JEAN-FRANÇOIS BERNARD"
"19",19,"Étape 18","19/07/1987","Carpentras","Mont Ventoux","PEDRO DELGADO"
"20",20,"Étape 19","20/07/1987","Valréas","Villard-de-Lans","FEDERICO ECHAVE"
"21",21,"Étape 20","21/07/1987","Villard-de-Lans","L'Alpe-d'Huez","LAURENT FIGNON"
"22",22,"Étape 21","22/07/1987","Bourg-d'Oisans","La Plagne","EDUARDO CHOZAS OLMO"
"23",23,"Étape 22","23/07/1987","Aime","Morzine","RÉGIS CLERE"
"24",24,"Étape 23","24/07/1987","Saint Julien en Genevois","Dijon","JEAN-FRANÇOIS BERNARD"
"25",25,"Étape 24","25/07/1987","Dijon","Dijon","JEFF PIERCE"
"26",26,"Étape 25","26/07/1987","Créteil","Paris",NA
