"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","30/06/1949","Paris","Reims","MARCEL DUSSAULT"
"2",2,"Étape 2","01/07/1949","Reims","Bruxelles","ROGER LAMBRECHT"
"3",3,"Étape 3","02/07/1949","Bruxelles","Boulogne-sur-Mer","NORBERT CALLENS"
"4",4,"Étape 4","03/07/1949","Boulogne-sur-Mer","Rouen","LUCIEN TEISSEIRE"
"5",5,"Étape 5","04/07/1949","Rouen","Saint-Malo","FERDI KUBLER"
"6",6,"Étape 6","05/07/1949","Saint-Malo","Les Sables","ADOLPHE DELEDDA"
"7",7,"Étape 7","07/07/1949","Les Sables","La Rochelle","FAUSTO COPPI"
"8",8,"Étape 8","08/07/1949","La Rochelle","Bordeaux","GUY LAPEBIE"
"9",9,"Étape 9","09/07/1949","Bordeaux","Saint-Sébastien","LOUIS CAPUT"
"10",10,"Étape 10","10/07/1949","Saint-Sébastien","Pau","FIORENZO MAGNI"
"11",11,"Étape 11","12/07/1949","Pau","Luchon","BERNARDO RUIZ"
"12",12,"Étape 12","13/07/1949","Luchon","Toulouse","RIK VAN STEENBERGEN"
"13",13,"Étape 13","14/07/1949","Toulouse","Nîmes","EMILE IDEE"
"14",14,"Étape 14","15/07/1949","Nîmes","Marseille","JEAN GOLDSCHMIT"
"15",15,"Étape 15","16/07/1949","Marseille","Cannes","DÉSIRÉ KETELEER"
"16",16,"Étape 16","18/07/1949","Cannes","Briançon","GINO BARTALI"
"17",17,"Étape 17","19/07/1949","Briançon","Aoste","FAUSTO COPPI"
"18",18,"Étape 18","21/07/1949","Aoste","Lausanne","VINCENZO ROSSELLO"
"19",19,"Étape 19","22/07/1949","Lausanne","Colmar","RAPHAËL GEMINIANI"
"20",20,"Étape 20","23/07/1949","Colmar","Nancy","FAUSTO COPPI"
"21",21,"Étape 21","24/07/1949","Nancy","Paris","RIK VAN STEENBERGEN"
