"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","03/07/1953","Strasbourg","Metz","FRITZ SCHAER"
"2",2,"Étape 2","04/07/1953","Metz","Liège","FRITZ SCHAER"
"3",3,"Étape 3","05/07/1953","Liège","Lille","STANISLAS BOBER"
"4",4,"Étape 4","06/07/1953","Lille","Dieppe","GERRIT VOORTING"
"5",5,"Étape 5","07/07/1953","Dieppe","Caen","JEAN MALLEJAC"
"6",6,"Étape 6","08/07/1953","Caen","Le Mans","MARTIN VAN GENEUGDEN"
"7",7,"Étape 7","09/07/1953","Le Mans","Nantes","LIVIO ISOTI"
"8",8,"Étape 8","10/07/1953","Nantes","Bordeaux","JAN NOLTEN"
"9",9,"Étape 9","12/07/1953","Bordeaux","Pau","FIORENZO MAGNI"
"10",10,"Étape 10","13/07/1953","Pau","Cauterets","JÉSUS LORONO"
"11",11,"Étape 11","14/07/1953","Cauterets","Luchon","JEAN ROBIC"
"12",12,"Étape 12","15/07/1953","Luchon","Albi","ANDRÉ DARRIGADE"
"13",13,"Étape 13","16/07/1953","Albi","Béziers","NELLO LAUREDI"
"14",14,"Étape 14","17/07/1953","Béziers","Nîmes","BERNARD QUENNEHEN"
"15",15,"Étape 15","18/07/1953","Nîmes","Marseille","MAURICE QUENTIN"
"16",16,"Étape 16","19/07/1953","Marseille","Monaco","WIM VAN EST"
"17",17,"Étape 17","21/07/1953","Monaco","Gap","WOUT WAGTMANS"
"18",18,"Étape 18","22/07/1953","Gap","Briançon","LOUISON BOBET"
"19",19,"Étape 19","23/07/1953","Briançon","Lyon","GEORGES MEUNIER"
"20",20,"Étape 20","24/07/1953","Lyon","Saint-Etienne","LOUISON BOBET"
"21",21,"Étape 21","25/07/1953","Saint-Etienne","Montluçon","WOUT WAGTMANS"
"22",22,"Étape 22","26/07/1953","Montluçon","Paris","FIORENZO MAGNI"
