"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","25/06/1959","Mulhouse","Metz","ANDRÉ DARRIGADE"
"2",2,"Étape 2","26/06/1959","Metz","Namur","VITO FAVERO"
"3",3,"Étape 3","27/06/1959","Namur","Roubaix","ROBERT CAZALA"
"4",4,"Étape 4","28/06/1959","Roubaix","Rouen","DINO BRUNI"
"5",5,"Étape 5","29/06/1959","Rouen","Rennes","JEAN GRACZYK"
"6",6,"Étape 6","30/06/1959","Blain","Nantes","ROGER RIVIERE"
"7",7,"Étape 7","01/07/1959","Nantes","La Rochelle","ROGER HASSENFORDER"
"8",8,"Étape 8","02/07/1959","La Rochelle","Bordeaux","MICHEL DEJOUHANNET"
"9",9,"Étape 9","03/07/1959","Bordeaux","Bayonne","MARCEL QUEHEILLE"
"10",10,"Étape 10","05/07/1959","Bayonne","Bagnères-de-Bigorre","MARCEL JANSSENS"
"11",11,"Étape 11","06/07/1959","Bagnères-de-Bigorre","Saint Gaudens","ANDRÉ DARRIGADE"
"12",12,"Étape 12","07/07/1959","Saint Gaudens","Albi","ERNEST ECUYER"
"13",13,"Étape 13","08/07/1959","Albi","Aurillac","HENRI ANGLADE"
"14",14,"Étape 14","09/07/1959","Aurillac","Clermont-Ferrand","ANDRÉ LE DISSEZ"
"15",15,"Étape 15","10/07/1959","Clermont-Ferrand","Puy de Dôme","FEDERICO BAHAMONTES"
"16",16,"Étape 16","11/07/1959","Clermont-Ferrand","Saint-Etienne","DINO BRUNI"
"17",17,"Étape 17","13/07/1959","Saint-Etienne","Grenoble","CHARLY GAUL"
"18",18,"Étape 18","14/07/1959","Grenoble","Saint-Vincent d'Aoste","ERCOLE BALDINI"
"19",19,"Étape 19","15/07/1959","Saint-Vincent d'Aoste","Annecy","ROLF GRAF"
"20",20,"Étape 20","16/07/1959","Annecy","Chalon-sur-Saône","BRIAN ROBINSON"
"21",21,"Étape 21","17/07/1959","Seurre","Dijon","ROGER RIVIERE"
"22",22,"Étape 22","18/07/1959","Dijon","Paris","JOSEPH GROUSSARD"
