"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","29/06/1984","Montreuil","Noisy-le-Sec","FRANK HOSTE"
"2",2,"Étape 1","30/06/1984","Bondy","Saint-Denis","MARC MADIOT"
"3",3,"Étape 2","01/07/1984","Bobigny","Louvroil","RENAULT-ELF"
"4",4,"Étape 3","02/07/1984","Louvroil","Valenciennes","FERDI VAN DEN HAUTE"
"5",5,"Étape 4","02/07/1984","Valenciennes","Béthune","PAULO FERREIRA"
"6",6,"Étape 5","03/07/1984","Béthune","Cergy-Pontoise","FRANK HOSTE"
"7",7,"Étape 6","04/07/1984","Cergy-Pontoise","Alençon","LAURENT FIGNON"
"8",8,"Étape 7","05/07/1984","Alençon","Le Mans","PASCAL JULES"
"9",9,"Étape 8","06/07/1984","Le Mans","Nantes","JAN RAAS"
"10",10,"Étape 9","07/07/1984","Nantes","Bordeaux","ERIC VANDERAERDEN"
"11",11,"Étape 10","08/07/1984","Langon","Pau","ROBERT MILLAR"
"12",12,"Étape 11","09/07/1984","Pau","Guzet-Neige","PASCAL POISSON"
"13",13,"Étape 12","10/07/1984","Saint-Girons","Blagnac","PIERRE-HENRI MENTHEOUR"
"14",14,"Étape 13","11/07/1984","Blagnac","Rodez","FONS DE WOLF"
"15",15,"Étape 14","12/07/1984","Rodez","Domaine du Rouret","FRÉDÉRIC VICHOT"
"16",16,"Étape 15","13/07/1984","Domaine du Rouret","Grenoble","LAURENT FIGNON"
"17",17,"Étape 16","15/07/1984","Les Echelles","La Ruchère","LUIS ''LUCHO'' HERRERA"
"18",18,"Étape 17","16/07/1984","Grenoble","L'Alpe-d'Huez","LAURENT FIGNON"
"19",19,"Étape 18","17/07/1984","Bourg-d'Oisans","La Plagne","ANGEL ARROYO"
"20",20,"Étape 19","18/07/1984","Aime","Morzine","LAURENT FIGNON"
"21",21,"Étape 20","19/07/1984","Morzine","Crans-Montana","FRANK HOSTE"
"22",22,"Étape 21","20/07/1984","Crans-Montana","Villefranche-sur-Saône","LAURENT FIGNON"
"23",23,"Étape 22","21/07/1984","Villié-Morgon","Villefranche-sur-Saône","ERIC VANDERAERDEN"
"24",24,"Étape 23","22/07/1984","Pantin","Paris",NA
