"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","26/06/1958","Bruxelles","Gand","ANDRÉ DARRIGADE"
"2",2,"Étape 2","27/06/1958","Gand","Dunkerque","GERRIT VOORTING"
"3",3,"Étape 3","28/06/1958","Dunkerque","Le Tréport","GILBERT BAUVIN"
"4",4,"Étape 4","29/06/1958","Le Tréport","Versailles","JEAN GAINCHE"
"5",5,"Étape 5","30/06/1958","Versailles","Caen","TINO SABBADINI"
"6",6,"Étape 6","01/07/1958","Caen","Saint-Brieuc","MARTIN VAN GENEUGDEN"
"7",7,"Étape 7","02/07/1958","Saint-Brieuc","Brest","BRIAN ROBINSON"
"8",8,"Étape 8","03/07/1958","Chateaulin","Chateaulin","CHARLY GAUL"
"9",9,"Étape 9","04/07/1958","Quimper","Saint Nazaire","ANDRÉ DARRIGADE"
"10",10,"Étape 10","05/07/1958","Saint Nazaire","Royan","PIERINO BAFFI"
"11",11,"Étape 11","06/07/1958","Royan","Bordeaux","ARIGO PADOVAN"
"12",12,"Étape 12","07/07/1958","Bordeaux","Dax","MARTIN VAN GENEUGDEN"
"13",13,"Étape 13","08/07/1958","Dax","Pau","LOUIS BERGAUD"
"14",14,"Étape 14","09/07/1958","Pau","Luchon","FEDERICO BAHAMONTES"
"15",15,"Étape 15","10/07/1958","Luchon","Toulouse","ANDRÉ DARRIGADE"
"16",16,"Étape 16","11/07/1958","Toulouse","Béziers","PIERINO BAFFI"
"17",17,"Étape 17","12/07/1958","Béziers","Nîmes","ANDRÉ DARRIGADE"
"18",18,"Étape 18","13/07/1958","Mont Ventoux","Mont Ventoux","CHARLY GAUL"
"19",19,"Étape 19","14/07/1958","Carpentras","Gap","GASTONE NENCINI"
"20",20,"Étape 20","15/07/1958","Gap","Briançon","FEDERICO BAHAMONTES"
"21",21,"Étape 21","16/07/1958","Briançon","Aix-les-Bains","CHARLY GAUL"
"22",22,"Étape 22","17/07/1958","Aix-les-Bains","Besançon","ANDRÉ DARRIGADE"
"23",23,"Étape 23","18/07/1958","Besançon","Dijon","CHARLY GAUL"
"24",24,"Étape 24","19/07/1958","Dijon","Paris","PIERINO BAFFI"
