"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","27/06/1957","Nantes","Granville","ANDRÉ DARRIGADE"
"2",2,"Étape 2","28/06/1957","Granville","Caen","RENÉ PRIVAT"
"3",3,"Étape 3.1","29/06/1957","Caen","Caen",NA
"4",4,"Étape 3.2","29/06/1957","Caen","Rouen","MARCEL JANSSENS"
"5",5,"Étape 4","30/06/1957","Rouen","Roubaix","GILBERT BAUVIN"
"6",6,"Étape 5","01/07/1957","Roubaix","Charleroi","ANDRÉ TROCHUT"
"7",7,"Étape 6","02/07/1957","Charleroi","Metz","ROGER HASSENFORDER"
"8",8,"Étape 7","03/07/1957","Metz","Colmar","PIERINO BAFFI"
"9",9,"Étape 8","04/07/1957","Colmar","Besançon","JACQUES ANQUETIL"
"10",10,"Étape 9","05/07/1957","Besançon","Thonon","GASTONE NENCINI"
"11",11,"Étape 10","07/07/1957","Thonon","Briançon","RENÉ PRIVAT"
"12",12,"Étape 11","08/07/1957","Briançon","Cannes","JEAN STABLINSKI"
"13",13,"Étape 12","09/07/1957","Cannes","Marseille","NINO DEFILIPPIS"
"14",14,"Étape 13","10/07/1957","Marseille","Alès","ROGER HASSENFORDER"
"15",15,"Étape 14","11/07/1957","Alès","Perpignan",NA
"16",16,"Étape 15.1","12/07/1957","Perpignan","Barcelone","JEAN BOURLES"
"17",17,"Étape 15.2","12/07/1957","Barcelone","Barcelone","NINO DEFILIPPIS"
"18",18,"Étape 16","14/07/1957","Barcelone","Ax-les-Thermes","GASTONE NENCINI"
"19",19,"Étape 17","15/07/1957","Ax-les-Thermes","Saint Gaudens","PIERINO BAFFI"
"20",20,"Étape 18","16/07/1957","Saint Gaudens","Pau","JACQUES ANQUETIL"
"21",21,"Étape 19","17/07/1957","Pau","Bordeaux","ANDRÉ DARRIGADE"
"22",22,"Étape 20","18/07/1957","Bordeaux","Libourne","ANDRÉ DARRIGADE"
"23",23,"Étape 21","19/07/1957","Libourne","Tours",NA
"24",24,"Étape 22","20/07/1957","Tours","Paris",NA
