"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","30/06/1931","Paris","Caen","ALFRED HAEMERLINCK"
"2",2,"Étape 2","01/07/1931","Caen","Dinan","MAX BULLA"
"3",3,"Étape 3","02/07/1931","Dinan","Brest","FABIO BATTESINI"
"4",4,"Étape 4","03/07/1931","Brest","Vannes","ANDRÉ GODINAT"
"5",5,"Étape 5","04/07/1931","Vannes","Les Sables","CHARLES PELISSIER"
"6",6,"Étape 6","05/07/1931","Les Sables","Bordeaux","ALFRED HAEMERLINCK"
"7",7,"Étape 7","06/07/1931","Bordeaux","Bayonne","GÉRARD LONCKE"
"8",8,"Étape 8","07/07/1931","Bayonne","Pau","CHARLES PELISSIER"
"9",9,"Étape 9","08/07/1931","Pau","Luchon","ANTONIN MAGNE"
"10",10,"Étape 10","10/07/1931","Luchon","Perpignan","RAFAËLE DI PACO"
"11",11,"Étape 11","12/07/1931","Perpignan","Montpellier","RAFAËLE DI PACO"
"12",12,"Étape 12","13/07/1931","Montpellier","Marseille","MAX BULLA"
"13",13,"Étape 13","14/07/1931","Marseille","Cannes","CHARLES PELISSIER"
"14",14,"Étape 14","15/07/1931","Cannes","Nice","EUGENIO GESTRI"
"15",15,"Étape 15","17/07/1931","Nice","Gap","JEF DEMUYSERE"
"16",16,"Étape 16","18/07/1931","Gap","Grenoble","CHARLES PELISSIER"
"17",17,"Étape 17","19/07/1931","Grenoble","Aix-les-Bains","MAX BULLA"
"18",18,"Étape 18","20/07/1931","Aix-les-Bains","Evian-les-Bains","JEF DEMUYSERE"
"19",19,"Étape 19","21/07/1931","Evian-les-Bains","Belfort","RAFAËLE DI PACO"
"20",20,"Étape 20","22/07/1931","Belfort","Colmar","ANDRÉ LEDUCQ"
"21",21,"Étape 21","23/07/1931","Colmar","Metz","RAFAËLE DI PACO"
"22",22,"Étape 22","24/07/1931","Metz","Charleville-Mézières","RAFAËLE DI PACO"
"23",23,"Étape 23","25/07/1931","Charleville-Mézières","Dunkerque","GASTON REBRY"
"24",24,"Étape 24","26/07/1931","Dunkerque","Paris","CHARLES PELISSIER"
