"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","11/07/1998","Dublin","Dublin","TOM STEELS"
"2",2,"Étape 1","12/07/1998","Dublin","Dublin","JAN SVORADA"
"3",3,"Étape 2","13/07/1998","Enniscothy","Cork","JENS HEPPNER"
"4",4,"Étape 3","14/07/1998","Roscoff","Lorient","JEROEN BLIJLEVENS"
"5",5,"Étape 4","15/07/1998","Plouay","Cholet","MARIO CIPOLLINI"
"6",6,"Étape 5","16/07/1998","Cholet","Châteauroux","MARIO CIPOLLINI"
"7",7,"Étape 6","17/07/1998","La Châtre","Brive-la-Gaillarde","JAN ULLRICH"
"8",8,"Étape 7","18/07/1998","Meyrignac l'Eglise","Corrèze","JACKY DURAND"
"9",9,"Étape 8","19/07/1998","Brive-la-Gaillarde","Montauban","ROBBIE MC EWEN"
"10",10,"Étape 9","20/07/1998","Montauban","Pau","RODOLFO MASSI"
"11",11,"Étape 10","21/07/1998","Pau","Luchon","MARCO PANTANI"
"12",12,"Étape 11","22/07/1998","Luchon","Plateau de Beille","TOM STEELS"
"13",13,"Étape 12","24/07/1998","Tarascon-sur-Ariège","Cap d'Agde","DANIELE NARDELLO"
"14",14,"Étape 13","25/07/1998","Frontignan-La-Peyrade","Carpentras","STUART O'GRADY"
"15",15,"Étape 14","26/07/1998","Valréas","Grenoble","MARCO PANTANI"
"16",16,"Étape 15","27/07/1998","Grenoble","Les Deux Alpes","JAN ULLRICH"
"17",17,"Étape 16","28/07/1998","Vizille","Albertville",NA
"18",18,"Étape 17","29/07/1998","Albertville","Aix-les-Bains","TOM STEELS"
"19",19,"Étape 18","30/07/1998","Aix-les-Bains","Neuchâtel","MAGNUS BACKSTEDT"
"20",20,"Étape 19","31/07/1998","La Chaux-de-Fonds","Autun","JAN ULLRICH"
"21",21,"Étape 20","01/08/1998","Montceau-les-Mines","Le Creusot","TOM STEELS"
"22",22,"Étape 21","02/08/1998","Melun","Paris",NA
