"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","03/07/1993","Puy-du-Fou","Puy-du-Fou","MARIO CIPOLLINI"
"2",2,"Étape 1","04/07/1993","Luçon","Les Sables","WILFRIED NELISSEN"
"3",3,"Étape 2","05/07/1993","Les Sables","Vannes","DJAMOLIDINE ABDOUJAPAROV"
"4",4,"Étape 3","06/07/1993","Vannes","Dinard","GB-MG-MAGLIFICIO"
"5",5,"Étape 4","07/07/1993","Dinard","Avranches","JESPER SKIBBY"
"6",6,"Étape 5","08/07/1993","Avranches","Evreux","JOHAN BRUYNEEL"
"7",7,"Étape 6","09/07/1993","Evreux","Amiens","BJARNE RIIS"
"8",8,"Étape 7","10/07/1993","Péronne","Chalons-sur-Marne","LANCE ARMSTRONG"
"9",9,"Étape 8","11/07/1993","Chalons-sur-Marne","Verdun","MIGUEL INDURAIN"
"10",10,"Étape 9","12/07/1993","Lac de Madine","Lac de Madine","TONY ROMINGER"
"11",11,"Étape 10","14/07/1993","Villard-de-Lans","Serre-Chevalier","TONY ROMINGER"
"12",12,"Étape 11","15/07/1993","Serre-Chevalier","Isola 2000","FABIO ROSCIOLI"
"13",13,"Étape 12","16/07/1993","Isola 2000","Marseille","OLAF LUDWIG"
"14",14,"Étape 13","17/07/1993","Marseille","Montpellier","PASCAL LINO"
"15",15,"Étape 14","18/07/1993","Montpellier","Perpignan","OLIVERIO RINCON"
"16",16,"Étape 15","19/07/1993","Perpignan","Andorre-la-Vieille","ZENON JASKULA"
"17",17,"Étape 16","21/07/1993","Andorre-la-Vieille","Saint-Lary-Soulan Col du Portet","CLAUDIO CHIAPPUCCI"
"18",18,"Étape 17","22/07/1993","Tarbes","Pau","DJAMOLIDINE ABDOUJAPAROV"
"19",19,"Étape 18","23/07/1993","Orthez","Bordeaux","TONY ROMINGER"
"20",20,"Étape 19","24/07/1993","Brétigny-sur-Orge","Montlhéry","DJAMOLIDINE ABDOUJAPAROV"
"21",21,"Étape 20","25/07/1993","Viry-Chatillon","Paris",NA
