"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","06/07/2019","Bruxelles","Bruxelles","MIKE TEUNISSEN"
"2",2,"Étape 2","07/07/2019","Bruxelles","Bruxelles","TEAM JUMBO - VISMA"
"3",3,"Étape 3","08/07/2019","Binche","Épernay","JULIAN ALAPHILIPPE"
"4",4,"Étape 4","09/07/2019","Reims","Nancy","ELIA VIVIANI"
"5",5,"Étape 5","10/07/2019","Saint-Dié-des-Vosges","Colmar","PETER SAGAN"
"6",6,"Étape 6","11/07/2019","Mulhouse","La Planche des Belles Filles","DYLAN TEUNS"
"7",7,"Étape 7","12/07/2019","Belfort","Chalon-sur-Saône","DYLAN GROENEWEGEN"
"8",8,"Étape 8","13/07/2019","Mâcon","Saint-Etienne","THOMAS DE GENDT"
"9",9,"Étape 9","14/07/2019","Saint-Etienne","Brioude","DARYL IMPEY"
"10",10,"Étape 10","15/07/2019","Saint-Flour","Albi","WOUT VAN AERT"
"11",11,"Étape 11","17/07/2019","Albi","Toulouse","CALEB EWAN"
"12",12,"Étape 12","18/07/2019","Toulouse","Bagnères-de-Bigorre","SIMON  YATES"
"13",13,"Étape 13","19/07/2019","Pau","Pau","JULIAN ALAPHILIPPE"
"14",14,"Étape 14","20/07/2019","Tarbes","Col du Tourmalet","THIBAUT PINOT"
"15",15,"Étape 15","21/07/2019","Limoux","Prat d'Albis","SIMON  YATES"
"16",16,"Étape 16","23/07/2019","Nîmes","Nîmes","CALEB EWAN"
"17",17,"Étape 17","24/07/2019","Pont du Gard","Gap","MATTEO TRENTIN"
"18",18,"Étape 18","25/07/2019","Embrun","Valloire","NAIRO QUINTANA"
"19",19,"Étape 19","26/07/2019","Saint-Jean-de-Maurienne","Tignes",NA
"20",20,"Étape 20","27/07/2019","Albertville","Val Thorens","VINCENZO NIBALI"
"21",21,"Étape 21","28/07/2019","Rambouillet","Paris","CALEB EWAN"
