"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","01/07/1983","Fontenay-sous-Bois","Fontenay-sous-Bois","FRITS PIRARD"
"2",2,"Étape 1","02/07/1983","Nogent-sur-Marne","Créteil","COOP-MERCIER-MAVIC"
"3",3,"Étape 2","03/07/1983","Soissons","Fontaine-au-Pire","RUDY MATTHIJS"
"4",4,"Étape 3","04/07/1983","Valenciennes","Roubaix","SERGE DEMIERRE"
"5",5,"Étape 4","05/07/1983","Roubaix","Le Havre","DOMINIQUE GAIGNE"
"6",6,"Étape 5","06/07/1983","Le Havre","Le Mans","BERT OOSTERBOSCH"
"7",7,"Étape 6","07/07/1983","Châteaubriant","Nantes","RICCARDO MAGRINI"
"8",8,"Étape 7","08/07/1983","Nantes","Ile d'Oléron","BERT OOSTERBOSCH"
"9",9,"Étape 8","09/07/1983","La Rochelle","Bordeaux","PHILIPPE CHEVALLIER"
"10",10,"Étape 9","10/07/1983","Bordeaux","Pau","ROBERT MILLAR"
"11",11,"Étape 10","11/07/1983","Pau","Luchon","RÉGIS CLERE"
"12",12,"Étape 11","12/07/1983","Luchon","Fleurance","KIM ANDERSEN"
"13",13,"Étape 12","13/07/1983","Fleurance","Roquefort","HENK LUBBERDING"
"14",14,"Étape 13","14/07/1983","Roquefort","Aurillac","PIERRE LE BIGAULT"
"15",15,"Étape 14","15/07/1983","Aurillac","Issoire","ANGEL ARROYO"
"16",16,"Étape 15","16/07/1983","Clermont-Ferrand","Puy de Dôme","MICHEL LAURENT"
"17",17,"Étape 16","17/07/1983","Issoire","Saint-Etienne","PETER WINNEN"
"18",18,"Étape 17","18/07/1983","La Tour du Pin","L'Alpe-d'Huez","JACQUES MICHAUD"
"19",19,"Étape 18","20/07/1983","Bourg-d'Oisans","Morzine","LUCIEN VAN IMPE"
"20",20,"Étape 19","21/07/1983","Morzine","Avoriaz","PHILIPPE LELEU"
"21",21,"Étape 20","22/07/1983","Morzine","Dijon","LAURENT FIGNON"
"22",22,"Étape 21","23/07/1983","Dijon","Dijon","GILBERT GLAUS"
"23",23,"Étape 22","24/07/1983","Alfortville","Paris",NA
