"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","05/07/1997","Rouen","Rouen","MARIO CIPOLLINI"
"2",2,"Étape 1","06/07/1997","Rouen","Forges-les-Eaux","MARIO CIPOLLINI"
"3",3,"Étape 2","07/07/1997","St Valery-en-Caux","Vire","ERIK ZABEL"
"4",4,"Étape 3","08/07/1997","Vire","Plumelec","NICOLA MINALI"
"5",5,"Étape 4","09/07/1997","Plumelec","Puy-du-Fou","CÉDRIC VASSEUR"
"6",6,"Étape 5","10/07/1997","Chantonnay","La Châtre","JEROEN BLIJLEVENS"
"7",7,"Étape 6","11/07/1997","Le Blanc","Marennes","ERIK ZABEL"
"8",8,"Étape 7","12/07/1997","Marennes","Bordeaux","ERIK ZABEL"
"9",9,"Étape 8","13/07/1997","Sauternes","Pau","LAURENT BROCHARD"
"10",10,"Étape 9","14/07/1997","Pau","Loudenvielle","JAN ULLRICH"
"11",11,"Étape 10","15/07/1997","Luchon","Andorre-la-Vieille","LAURENT DESBIENS"
"12",12,"Étape 11","16/07/1997","Andorre-la-Vieille","Perpignan","JAN ULLRICH"
"13",13,"Étape 12","18/07/1997","Saint-Etienne","Saint-Etienne","MARCO PANTANI"
"14",14,"Étape 13","19/07/1997","Saint-Etienne","L'Alpe-d'Huez","RICHARD VIRENQUE"
"15",15,"Étape 14","20/07/1997","Bourg-d'Oisans","Courchevel","MARCO PANTANI"
"16",16,"Étape 15","21/07/1997","Courchevel","Morzine","CHRISTOPHE MENGIN"
"17",17,"Étape 16","22/07/1997","Morzine","Fribourg","NEIL STEPHENS"
"18",18,"Étape 17","23/07/1997","Fribourg","Colmar","DIDIER ROUS"
"19",19,"Étape 18","24/07/1997","Colmar","Montbéliard","MARIO TRAVERSONI"
"20",20,"Étape 19","25/07/1997","Montbéliard","Dijon","ABRAHAM OLANO"
"21",21,"Étape 20","26/07/1997","Disneyland-Paris","Disneyland-Paris","NICOLA MINALI"
"22",22,"Étape 21","27/07/1997","Disneyland-Paris","Paris",NA
