"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","27/06/1968","Vittel","Vittel","CHARLY GROSSKOST"
"2",2,"Étape 1","28/06/1968","Vittel","Esch-sur-Alzette","ERIC DE VLAEMINCK"
"3",3,"Étape 2","29/06/1968","Arlon","Forest",NA
"4",4,"Étape 3.1","30/06/1968","Forest","Forest","GEORGES CHAPPE"
"5",5,"Étape 3.2","30/06/1968","Forest","Roubaix",NA
"6",6,"Étape 4","01/07/1968","Roubaix","Rouen","AURELIO GONZALEZ"
"7",7,"Étape 5.1","02/07/1968","Rouen","Bagnoles-de-l'Orne","SEVERINO ANDREOLI"
"8",8,"Étape 5.2","02/07/1968","Bagnoles-de-l'Orne","Dinard","DANIEL VAN RYCKEGHEM"
"9",9,"Étape 6","03/07/1968","Dinard","Lorient","WALTER GODEFROOT"
"10",10,"Étape 7","04/07/1968","Lorient","Nantes","GILBERT BELLONE"
"11",11,"Étape 8","05/07/1968","Nantes","Royan","DANIEL VAN RYCKEGHEM"
"12",12,"Étape 9","07/07/1968","Royan","Bordeaux","GEORGES PINTENS"
"13",13,"Étape 10","08/07/1968","Bordeaux","Bayonne","HERMAN VANSPRINGEL"
"14",14,"Étape 11","09/07/1968","Bayonne","Pau","JAN JANSSEN"
"15",15,"Étape 12","10/07/1968","Pau","Saint Gaudens","ROGER PINGEON"
"16",16,"Étape 13","11/07/1968","Saint Gaudens","Seo de Urgel","SEVERINO ANDREOLI"
"17",17,"Étape 14","12/07/1968","Seo de Urgel","Canet-Plage","JEAN-PIERRE GENET"
"18",18,"Étape 15","14/07/1968","Font Romeu","Albi","ROGER PINGEON"
"19",19,"Étape 16","15/07/1968","Albi","Aurillac","BARRY HOBAN"
"20",20,"Étape 17","16/07/1968","Aurillac","Saint-Etienne","JOSEPH HUYSMANS"
"21",21,"Étape 18","17/07/1968","Saint-Etienne","Grenoble","ERIC LEMAN"
"22",22,"Étape 19","18/07/1968","Grenoble","Sallanches",NA
"23",23,"Étape 20","19/07/1968","Sallanches","Besançon",NA
"24",24,"Étape 21","20/07/1968","Besançon","Auxerre",NA
"25",25,"Étape 22.1","21/07/1968","Auxerre","Melun",NA
"26",26,"Étape 22.2","21/07/1968","Melun","Paris",NA
