"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","07/07/2018","Noirmoutier-en-l'Île","Fontenay-le-Comte","FERNANDO GAVIRIA RENDON"
"2",2,"Étape 2","08/07/2018","Mouilleron-Saint-Germain","La Roche-sur-Yon","PETER SAGAN"
"3",3,"Étape 3","09/07/2018","Cholet","Cholet","BMC RACING TEAM"
"4",4,"Étape 4","10/07/2018","La Baule","Sarzeau","FERNANDO GAVIRIA RENDON"
"5",5,"Étape 5","11/07/2018","Lorient","Quimper","PETER SAGAN"
"6",6,"Étape 6","12/07/2018","Brest","Mûr-de-Bretagne Guerlédan","DANIEL MARTIN"
"7",7,"Étape 7","13/07/2018","Fougères","Chartres","DYLAN GROENEWEGEN"
"8",8,"Étape 8","14/07/2018","Dreux","Amiens","DYLAN GROENEWEGEN"
"9",9,"Étape 9","15/07/2018","Arras","Roubaix","JOHN DEGENKOLB"
"10",10,"Étape 10","17/07/2018","Annecy","Le Grand-Bornand","JULIAN ALAPHILIPPE"
"11",11,"Étape 11","18/07/2018","Albertville","La Rosière Espace San Bernardo","GERAINT THOMAS"
"12",12,"Étape 12","19/07/2018","Les Arcs","L'Alpe d'Huez","GERAINT THOMAS"
"13",13,"Étape 13","20/07/2018","Le Bourg d'Oisans","Valence","PETER SAGAN"
"14",14,"Étape 14","21/07/2018","Saint-Paul-Trois-Châteaux","Mende","OMAR FRAILE MATARRANZ"
"15",15,"Étape 15","22/07/2018","Millau","Carcassonne","MAGNUS CORT NIELSEN"
"16",16,"Étape 16","24/07/2018","Carcassonne","Luchon","JULIAN ALAPHILIPPE"
"17",17,"Étape 17","25/07/2018","Luchon","Saint-Lary-Soulan Col du Portet","NAIRO QUINTANA"
"18",18,"Étape 18","26/07/2018","Trie-sur-Baïse","Pau","ARNAUD DEMARE"
"19",19,"Étape 19","27/07/2018","Lourdes","Laruns","PRIMOŽ ROGLIČ"
"20",20,"Étape 20","28/07/2018","Saint-Pée-sur-Nivelle","Espelette","TOM DUMOULIN"
"21",21,"Étape 21","29/07/2018","Houilles","Paris","ALEXANDER KRISTOFF"
