"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","29/06/1996","'s-Hertogenbosch","'s-Hertogenbosch","FRÉDÉRIC MONCASSIN"
"2",2,"Étape 1","30/06/1996","'s-Hertogenbosch","'s-Hertogenbosch","MARIO CIPOLLINI"
"3",3,"Étape 2","01/07/1996","'s-Hertogenbosch","Wasquehal","ERIK ZABEL"
"4",4,"Étape 3","02/07/1996","Wasquehal","Nogent-sur-Oise","CYRIL SAUGRAIN"
"5",5,"Étape 4","03/07/1996","Soissons","Lac de Madine","JEROEN BLIJLEVENS"
"6",6,"Étape 5","04/07/1996","Lac de Madine","Besançon","MICHAEL BOOGERD"
"7",7,"Étape 6","05/07/1996","Arc-et-Senans","Aix-les-Bains","LUC LEBLANC"
"8",8,"Étape 7","06/07/1996","Chambéry","Les Arcs","EVGUENI BERZIN"
"9",9,"Étape 8","07/07/1996","Bourg Saint Maurice","Val d'Isère","BJARNE RIIS"
"10",10,"Étape 9","08/07/1996","Monetier les Bains","Sestrières","ERIK ZABEL"
"11",11,"Étape 10","09/07/1996","Turin","Gap","CHEPE GONZALEZ PICO"
"12",12,"Étape 11","11/07/1996","Gap","Valence","PASCAL RICHARD"
"13",13,"Étape 12","12/07/1996","Valence","Le Puy en Velay","ROLF SORENSEN"
"14",14,"Étape 13","13/07/1996","Le Puy en Velay","Besse","DJAMOLIDINE ABDOUJAPAROV"
"15",15,"Étape 14","14/07/1996","Besse","Tulle","MASSIMO PODENZANA"
"16",16,"Étape 15","15/07/1996","Brive-la-Gaillarde","Villeneuve sur Lot","BJARNE RIIS"
"17",17,"Étape 16","16/07/1996","Agen","Hautacam","LAURENT DUFAUX"
"18",18,"Étape 17","17/07/1996","Argelès","Pampelune","BART VOSKAMP"
"19",19,"Étape 18","18/07/1996","Pampelune","Hendaye","FRÉDÉRIC MONCASSIN"
"20",20,"Étape 19","19/07/1996","Hendaye","Bordeaux","JAN ULLRICH"
"21",21,"Étape 20","20/07/1996","Bordeaux","Saint-Emilion","FABIO BALDATO"
"22",22,"Étape 21","21/07/1996","Palaiseau","Paris",NA
