"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","10/07/1939","Paris","Caen","AMÉDÉE FOURNIER"
"2",2,"Étape 2.1","11/07/1939","Caen","Vire",NA
"3",3,"Étape 2.2","11/07/1939","Vire","Rennes","PIERRE-MARIE CLOAREC"
"4",4,"Étape 3","12/07/1939","Rennes","Brest","RAYMOND LOUVIOT"
"5",5,"Étape 4","13/07/1939","Brest","Lorient","AMÉDÉE FOURNIER"
"6",6,"Étape 5","14/07/1939","Lorient","Nantes",NA
"7",7,"Étape 6.1","15/07/1939","Nantes","La Rochelle","RAYMOND PASSAT"
"8",8,"Étape 6.2","15/07/1939","La Rochelle","Royan",NA
"9",9,"Étape 7","17/07/1939","Royan","Bordeaux","EDWARD VISSERS"
"10",10,"Étape 8.1","18/07/1939","Bordeaux","Salies-de-Béarn",NA
"11",11,"Étape 8.2","18/07/1939","Salies-de-Béarn","Pau","FABIEN GALATEAU"
"12",12,"Étape 9","19/07/1939","Pau","Toulouse",NA
"13",13,"Étape 10.1","21/07/1939","Toulouse","Narbonne","PIERRE GALLIEN"
"14",14,"Étape 10.2","21/07/1939","Narbonne","Béziers","PIERRE-MARIE CLOAREC"
"15",15,"Étape 10.3","21/07/1939","Béziers","Montpellier","SYLVÈRE MAES"
"16",16,"Étape 11","22/07/1939","Montpellier","Marseille",NA
"17",17,"Étape 12.1","23/07/1939","Marseille","Saint-Raphaël",NA
"18",18,"Étape 12.2","23/07/1939","Saint-Raphaël","Monaco",NA
"19",19,"Étape 13","24/07/1939","Monaco","Monaco",NA
"20",20,"Étape 14","25/07/1939","Monaco","Digne-les-Bains",NA
"21",21,"Étape 15","26/07/1939","Digne-les-Bains","Briançon",NA
"22",22,"Étape 16.1","27/07/1939","Briançon","Bonneval-sur-Arc",NA
"23",23,"Étape 16.2","27/07/1939","Bonneval-sur-Arc","Bourg Saint Maurice",NA
"24",24,"Étape 16.3","27/07/1939","Bourg Saint Maurice","Annecy",NA
"25",25,"Étape 17.1","29/07/1939","Annecy","Dole",NA
"26",26,"Étape 17.2","29/07/1939","Dole","Dijon",NA
"27",27,"Étape 18.1","30/07/1939","Dijon","Troyes",NA
"28",28,"Étape 18.2","30/07/1939","Troyes","Paris",NA
