"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","01/07/1995","Saint-Brieuc","Saint-Brieuc","FABIO BALDATO"
"2",2,"Étape 1","02/07/1995","Dinan","Lannion","DJAMOLIDINE ABDOUJAPAROV"
"3",3,"Étape 2","03/07/1995","Perros-Guirec","Vitré","GEWISS-BALLAN"
"4",4,"Étape 3","04/07/1995","Mayenne","Alençon","DJAMOLIDINE ABDOUJAPAROV"
"5",5,"Étape 4","05/07/1995","Alençon","Le Havre","JEROEN BLIJLEVENS"
"6",6,"Étape 5","06/07/1995","Fecamp","Dunkerque","ERIK ZABEL"
"7",7,"Étape 6","07/07/1995","Dunkerque","Charleroi","JOHAN BRUYNEEL"
"8",8,"Étape 7","08/07/1995","Charleroi","Liège","MIGUEL INDURAIN"
"9",9,"Étape 8","09/07/1995","Huy","Seraing","ALEX ZULLE"
"10",10,"Étape 9","11/07/1995","Le Grand-Bornand","La Plagne","MARCO PANTANI"
"11",11,"Étape 10","12/07/1995","Aime","L'Alpe-d'Huez","MAXIMILIAN SCIANDRI"
"12",12,"Étape 11","13/07/1995","Bourg-d'Oisans","Saint-Etienne","LAURENT JALABERT"
"13",13,"Étape 12","14/07/1995","Saint-Etienne","Mende","SERGUEI OUTSCHAKOV"
"14",14,"Étape 13","15/07/1995","Mende","Revel","MARCO PANTANI"
"15",15,"Étape 14","16/07/1995","Saint Orens de G.","Guzet-Neige","RICHARD VIRENQUE"
"16",16,"Étape 15","18/07/1995","Saint-Girons","Cauterets",NA
"17",17,"Étape 16","19/07/1995","Tarbes","Pau","ERIK ZABEL"
"18",18,"Étape 17","20/07/1995","Pau","Bordeaux","LANCE ARMSTRONG"
"19",19,"Étape 18","21/07/1995","Montpon-Monesterol","Limoges","MIGUEL INDURAIN"
"20",20,"Étape 19","22/07/1995","Lac de Vassivière","Lac de Vassivière","DJAMOLIDINE ABDOUJAPAROV"
"21",21,"Étape 20","23/07/1995","Sainte Geneviève des Bois","Paris",NA
