"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","03/07/2010","Rotterdam","Rotterdam","ALESSANDRO PETACCHI"
"2",2,"Étape 1","04/07/2010","Rotterdam","Bruxelles","SYLVAIN CHAVANEL"
"3",3,"Étape 2","05/07/2010","Bruxelles","Spa","THOR HUSHOVD"
"4",4,"Étape 3","06/07/2010","Wanze","Arenberg Porte du Hainaut","ALESSANDRO PETACCHI"
"5",5,"Étape 4","07/07/2010","Cambrai","Reims","MARK CAVENDISH"
"6",6,"Étape 5","08/07/2010","Épernay","Montargis","MARK CAVENDISH"
"7",7,"Étape 6","09/07/2010","Montargis","Gueugnon","SYLVAIN CHAVANEL"
"8",8,"Étape 7","10/07/2010","Tournus","Station des Rousses","ANDY SCHLECK"
"9",9,"Étape 8","11/07/2010","Station des Rousses","Morzine","SANDY CASAR"
"10",10,"Étape 9","13/07/2010","Morzine","Saint-Jean-de-Maurienne","SERGIO MIGUEL MOREIRA PAULINHO"
"11",11,"Étape 10","14/07/2010","Chambéry","Gap","MARK CAVENDISH"
"12",12,"Étape 11","15/07/2010","Sisteron","Bourg-lès-Valence","JOAQUIN RODRIGUEZ OLIVER"
"13",13,"Étape 12","16/07/2010","Bourg-de-Péage","Mende","ALEXANDRE VINOKOUROV"
"14",14,"Étape 13","17/07/2010","Rodez","Revel","CHRISTOPHE RIBLON"
"15",15,"Étape 14","18/07/2010","Revel","Ax-les-Thermes","THOMAS VOECKLER"
"16",16,"Étape 15","19/07/2010","Pamiers","Luchon","PIERRICK FEDRIGO"
"17",17,"Étape 16","20/07/2010","Luchon","Pau","ANDY SCHLECK"
"18",18,"Étape 17","22/07/2010","Pau","Col du Tourmalet","MARK CAVENDISH"
"19",19,"Étape 18","23/07/2010","Salies-de-Béarn","Bordeaux","FABIAN CANCELLARA"
"20",20,"Étape 19","24/07/2010","Bordeaux","Pauillac","MARK CAVENDISH"
"21",21,"Étape 20","25/07/2010","Longjumeau","Paris",NA
