"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","02/07/2005","Fromentine","Noirmoutier-en-l'Île",NA
"2",2,"Étape 2","03/07/2005","Challans","Les Essarts","TOM BOONEN"
"3",3,"Étape 3","04/07/2005","La Châtaigneraie","Tours","TOM BOONEN"
"4",4,"Étape 4","05/07/2005","Tours","Blois","DISCOVERY CHANNEL TEAM"
"5",5,"Étape 5","06/07/2005","Chambord","Montargis","ROBBIE MC EWEN"
"6",6,"Étape 6","07/07/2005","Troyes","Nancy","LORENZO BERNUCCI"
"7",7,"Étape 7","08/07/2005","Lunéville","Karlsruhe","ROBBIE MC EWEN"
"8",8,"Étape 8","09/07/2005","Pforzheim","Gérardmer","PIETER WEENING"
"9",9,"Étape 9","10/07/2005","Gérardmer","Mulhouse","MICHAEL RASMUSSEN"
"10",10,"Étape 10","12/07/2005","Grenoble","Courchevel","ALEJANDRO VALVERDE"
"11",11,"Étape 11","13/07/2005","Courchevel","Briançon","ALEXANDRE VINOKOUROV"
"12",12,"Étape 12","14/07/2005","Briançon","Digne-les-Bains","DAVID MONCOUTIE"
"13",13,"Étape 13","15/07/2005","Miramas","Montpellier","ROBBIE MC EWEN"
"14",14,"Étape 14","16/07/2005","Cap d'Agde","Ax-les-Thermes","GEORG TOTSCHNIG"
"15",15,"Étape 15","17/07/2005","Lézat-sur-Leze","Saint-Lary-Soulan Col du Portet",NA
"16",16,"Étape 16","19/07/2005","Mourenx","Pau","OSCAR PEREIRO SIO"
"17",17,"Étape 17","20/07/2005","Pau","Revel","PAOLO SAVOLDELLI"
"18",18,"Étape 18","21/07/2005","Albi","Mende","MARCOS ANTONIO SERRANO RODRIGUEZ"
"19",19,"Étape 19","22/07/2005","Issoire","Le Puy en Velay","GIUSEPPE GUERINI"
"20",20,"Étape 20","23/07/2005","Saint-Etienne","Saint-Etienne",NA
"21",21,"Étape 21","24/07/2005","Corbeil-Essonnes","Paris","ALEXANDRE VINOKOUROV"
