"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","03/07/2004","Liège","Liège","JAAN KIRSIPUU"
"2",2,"Étape 1","04/07/2004","Liège","Charleroi","ROBBIE MC EWEN"
"3",3,"Étape 2","05/07/2004","Charleroi","Namur","JEAN-PATRICK NAZON"
"4",4,"Étape 3","06/07/2004","Waterloo","Wasquehal","US POSTAL - BERRY FLOOR"
"5",5,"Étape 4","07/07/2004","Cambrai","Arras","STUART O'GRADY"
"6",6,"Étape 5","08/07/2004","Amiens","Chartres","TOM BOONEN"
"7",7,"Étape 6","09/07/2004","Bonneval","Angers","FILIPPO POZZATO"
"8",8,"Étape 7","10/07/2004","Châteaubriant","Saint-Brieuc","THOR HUSHOVD"
"9",9,"Étape 8","11/07/2004","Lamballe","Quimper","ROBBIE MC EWEN"
"10",10,"Étape 9","13/07/2004","Saint-Léonard-de-Noblat","Guéret","RICHARD VIRENQUE"
"11",11,"Étape 10","14/07/2004","Limoges","Saint-Flour","DAVID MONCOUTIE"
"12",12,"Étape 11","15/07/2004","Saint-Flour","Figeac","IVAN BASSO"
"13",13,"Étape 12","16/07/2004","Castelsarrasin","La Mongie",NA
"14",14,"Étape 13","17/07/2004","Lannemezan","Plateau de Beille","AÏTOR GONZALEZ"
"15",15,"Étape 14","18/07/2004","Carcassonne","Nîmes",NA
"16",16,"Étape 15","20/07/2004","Valréas","Villard-de-Lans",NA
"17",17,"Étape 16","21/07/2004","Bourg-d'Oisans","L'Alpe-d'Huez",NA
"18",18,"Étape 17","22/07/2004","Bourg-d'Oisans","Le Grand-Bornand","JUAN MIGUEL MERCADO"
"19",19,"Étape 18","23/07/2004","Annemasse","Lons-le-Saunier",NA
"20",20,"Étape 19","24/07/2004","Besançon","Besançon","TOM BOONEN"
"21",21,"Étape 20","25/07/2004","Montereau","Paris",NA
