"","id","n","annee","depart","arrivee","winner"
"1",1,"Étape 1","24/06/1923","Paris","Le Havre","ROBERT JACQUINOT"
"2",2,"Étape 2","26/06/1923","Le Havre","Cherbourg-en-Cotentin","OTTAVIO BOTTECCHIA"
"3",3,"Étape 3","28/06/1923","Cherbourg-en-Cotentin","Brest","HENRI PELISSIER"
"4",4,"Étape 4","30/06/1923","Brest","Les Sables","ALBERT DEJONGHE"
"5",5,"Étape 5","02/07/1923","Les Sables","Bayonne","ROBERT JACQUINOT"
"6",6,"Étape 6","04/07/1923","Bayonne","Luchon","JEAN ALAVOINE"
"7",7,"Étape 7","06/07/1923","Luchon","Perpignan","JEAN ALAVOINE"
"8",8,"Étape 8","08/07/1923","Perpignan","Toulon","LUCIEN BUYSSE"
"9",9,"Étape 9","10/07/1923","Toulon","Nice","JEAN ALAVOINE"
"10",10,"Étape 10","12/07/1923","Nice","Briançon","HENRI PELISSIER"
"11",11,"Étape 11","14/07/1923","Briançon","Genève","HENRI PELISSIER"
"12",12,"Étape 12","16/07/1923","Genève","Strasbourg","JOSEPH MULLER"
"13",13,"Étape 13","18/07/1923","Strasbourg","Metz","ROMAIN BELLENGER"
"14",14,"Étape 14","20/07/1923","Metz","Dunkerque","FÉLIX GOETHALS"
"15",15,"Étape 15","22/07/1923","Dunkerque","Paris","FÉLIX GOETHALS"
